datetime,open,high,low,close,volume
2025-04-01,36.94,37.42,36.59,36.94,3090400
2025-03-31,36.72,37.91,35.86,37.36,2306800
2025-03-28,38.5,38.5,37.48,37.83,2281500
2025-03-27,37.63,38.86,36.83,38.54,1748900
2025-03-26,38.98,39.29,37.66,37.68,1275600
2025-03-25,39.01,39.68,38.73,38.91,1028900
2025-03-24,38.28,40.0,37.37,38.99,2040700
2025-03-21,37.7,37.865,36.915,37.48,4832600
2025-03-20,37.09,38.56,36.08,38.16,2605700
2025-03-19,36.92,37.99,36.755,37.475,1186700
2025-03-18,36.51,37.17,36.125,36.92,1331300
2025-03-17,36.1,36.99,35.72,36.55,1464700
2025-03-14,36.74,36.85,35.441,36.47,2339300
2025-03-13,36.94,36.94,35.08,35.27,1899200
2025-03-12,38.11,38.49,36.64,36.88,2461800
2025-03-11,35.585,37.25,35.25,36.96,2525000
2025-03-10,36.95,37.13,34.97,35.48,2478000
2025-03-07,40.19,40.775,35.06,37.42,5473700
2025-03-06,43.32,43.34,40.55,40.67,2309300
2025-03-05,41.73,43.91,41.73,43.69,1739600
2025-03-04,42.0,42.58,41.06,41.92,1233700
2025-03-03,43.65,45.0,42.26,42.58,3216700
2025-02-28,42.0,43.55,41.23,43.47,2995200
2025-02-27,42.93,43.69,42.02,42.45,1867800
2025-02-26,42.0,42.491,41.64,42.35,2486100
2025-02-25,41.868,42.175,40.49,41.77,5711600
2025-02-24,42.93,43.13,41.22,42.07,5165800
2025-02-21,40.92,42.75,40.6,42.21,12641700
2025-02-20,43.71,43.77,40.96,41.0,3168500
2025-02-19,43.44,43.94,41.7,43.86,2833800
2025-02-18,45.83,48.11,43.06,45.11,4412900
2025-02-14,44.83,45.49,43.9,45.35,1791000
2025-02-13,43.81,44.778,43.585,44.7,2675400
2025-02-12,42.2,43.92,41.95,43.75,1868900
2025-02-11,41.64,42.56,41.35,42.48,1101200
2025-02-10,41.13,41.52,40.71,41.45,690400
2025-02-07,41.27,41.5,40.77,40.93,986500
2025-02-06,41.96,42.07,40.5,40.94,1210900
2025-02-05,40.83,41.96,40.7,41.96,806000
2025-02-04,40.29,41.28,40.29,41.06,778900
2025-02-03,37.9,40.4,37.03,40.28,1341800
2025-01-31,41.6,41.66,40.14,40.19,864400
2025-01-30,40.92,41.74,40.63,41.54,1421400
2025-01-29,40.65,41.19,40.03,40.69,935400
2025-01-28,38.67,40.72,38.17,40.71,1562100
2025-01-27,37.78,39.73,37.6,38.56,1626700
2025-01-24,38.02,40.2,37.85,39.05,2624600
2025-01-23,38.09,38.2,37.5,37.87,917200
2025-01-22,38.25,38.838,37.705,38.17,1208300
2025-01-21,37.82,38.44,37.57,38.09,1018500
2025-01-17,37.64,37.64,36.86,37.47,919600
2025-01-16,37.69,37.75,37.03,37.36,947400
2025-01-15,37.81,38.0,37.205,37.69,1368500
2025-01-14,37.7,38.34,36.61,37.36,1204100
2025-01-13,37.0,37.66,36.39,36.95,1199500
2025-01-10,37.01,37.72,36.29,37.49,903300
2025-01-08,37.27,38.0,36.78,37.51,816300
2025-01-07,37.5,37.72,37.01,37.5,880300
2025-01-06,37.23,37.593,36.62,37.5,1275800
2025-01-03,36.0,37.17,35.85,36.98,893400
2025-01-02,36.79,37.11,35.26,35.95,1167200
2024-12-31,37.71,37.78,36.61,36.7,734900
2024-12-30,37.44,37.6,36.579,37.06,977000
