datetime,open,high,low,close,volume
2025-04-01,23.2573,23.35,23.02,23.025,3848
2025-03-31,23.1,23.17,22.63,23.0,8007
2025-03-28,23.44,23.6773,23.41,23.45,3970
2025-03-27,23.51,23.58,23.36,23.58,7455
2025-03-26,23.75,23.8699,23.27,23.4,21447
2025-03-25,23.84,23.84,23.74,23.75,878
2025-03-24,23.78,25.25,23.78,23.875,5965
2025-03-21,23.865,23.865,23.72,23.76,4511
2025-03-20,23.71,23.9499,23.71,23.9499,1917
2025-03-19,23.72,23.93,23.69,23.71,8935
2025-03-18,23.52,23.9499,23.52,23.72,3964
2025-03-17,23.4462,23.9499,23.4462,23.65,5036
2025-03-14,23.46,23.9499,23.46,23.6,3744
2025-03-13,23.765,23.765,23.6,23.6,3332
2025-03-12,23.67,23.94,23.5001,23.66,8472
2025-03-11,23.9471,23.9471,23.5,23.58,7505
2025-03-10,23.9842,24.0,23.61,23.73,19579
2025-03-07,24.21,24.2293,23.92,24.0,23259
2025-03-06,24.18,24.3,23.9001,24.3,9352
2025-03-05,24.04,24.52,24.04,24.21,7870
2025-03-04,24.1092,24.25,23.96,24.12,9094
2025-03-03,24.06,24.28,24.06,24.2248,6303
2025-02-28,24.25,24.25,24.07,24.07,6774
2025-02-27,24.06,24.14,24.06,24.14,648
2025-02-26,23.81,24.1699,23.81,24.09,11482
2025-02-25,23.98,24.112,23.8,24.05,29252
2025-02-24,23.97,23.9899,23.7754,23.9899,11809
2025-02-21,23.65,23.9699,23.65,23.9699,6578
2025-02-20,23.82,23.9099,23.75,23.7501,5918
2025-02-19,23.8,24.1199,23.7,23.8,14664
2025-02-18,24.0,24.05,23.75,23.8,18557
2025-02-14,24.12,24.12,23.9166,24.06,2379
2025-02-13,24.0768,24.2,24.05,24.1199,8741
2025-02-12,23.68,24.04,23.68,23.93,6700
2025-02-11,24.05,24.09,23.88,23.88,3624
2025-02-10,23.94,24.09,23.8879,24.08,3636
2025-02-07,23.95,23.96,23.7701,23.88,10093
2025-02-06,24.06,24.13,23.68,23.93,12430
2025-02-05,24.125,24.19,24.08,24.08,4328
2025-02-04,23.95,24.1999,23.91,24.1999,11134
2025-02-03,23.83,24.135,23.83,23.95,12096
2025-01-31,24.25,24.25,23.9,23.95,9182
2025-01-30,24.05,24.2618,24.0,24.24,12877
2025-01-29,24.195,24.3,23.94,24.125,14827
2025-01-28,23.8862,24.35,23.8862,24.249,23023
