datetime,open,high,low,close,volume
2025-04-01,11.05,11.21,10.97,11.18,652200
2025-03-31,10.81,11.1,10.51,11.09,1194900
2025-03-28,11.4,11.4,10.88,11.01,814400
2025-03-27,11.63,11.7,11.325,11.46,342900
2025-03-26,11.98,12.006,11.63,11.63,426700
2025-03-25,12.07,12.17,11.94,11.95,403100
2025-03-24,12.0,12.19,11.925,12.01,534400
2025-03-21,11.39,11.729,11.27,11.7,1023600
2025-03-20,11.32,11.96,11.32,11.64,1170000
2025-03-19,11.2,11.62,11.08,11.61,1615100
2025-03-18,11.4,11.4,11.06,11.14,719200
2025-03-17,11.15,11.505,11.02,11.47,810700
2025-03-14,11.18,11.255,10.98,11.2,783700
2025-03-13,11.41,11.41,10.83,10.99,720900
2025-03-12,11.72,11.88,11.225,11.44,1271600
2025-03-11,10.61,11.515,10.54,11.4,1608000
2025-03-10,11.3,11.3,10.4,10.61,911300
2025-03-07,11.56,11.62,10.96,11.45,1082300
2025-03-06,12.12,12.31,11.62,11.63,819800
2025-03-05,12.13,12.43,11.96,12.38,690500
2025-03-04,12.0,12.38,11.77,12.13,1177200
2025-03-03,12.61,12.72,11.855,12.09,769200
2025-02-28,12.43,12.61,12.33,12.6,880400
2025-02-27,12.95,12.98,12.365,12.42,1104900
2025-02-26,12.76,13.07,12.695,12.82,1025200
2025-02-25,13.16,13.28,12.6,12.65,1764700
2025-02-24,14.31,14.31,13.055,13.29,2330700
2025-02-21,15.71,15.71,13.71,14.26,7750100
2025-02-20,16.91,17.17,16.63,16.89,850400
2025-02-19,17.14,17.225,16.625,17.03,999100
2025-02-18,17.41,17.63,17.17,17.28,1059800
2025-02-14,17.28,17.58,17.06,17.38,826100
2025-02-13,17.2,17.39,16.83,17.33,669400
2025-02-12,17.1,17.44,16.901,17.13,558100
2025-02-11,17.28,17.48,17.26,17.27,659100
2025-02-10,17.34,17.45,17.02,17.44,841400
2025-02-07,17.28,17.45,16.933,17.21,484600
2025-02-06,17.1,17.25,16.8,17.18,1983100
2025-02-05,16.84,17.25,16.75,17.18,698900
2025-02-04,16.39,16.84,16.39,16.83,590300
2025-02-03,15.86,16.4,15.721,16.39,686300
2025-01-31,16.45,16.86,16.28,16.32,1052200
2025-01-30,16.445,16.715,16.11,16.39,1489000
2025-01-29,16.25,16.51,15.92,16.44,999600
2025-01-28,15.96,16.4,15.86,16.36,598400
2025-01-27,15.86,16.15,15.37,15.81,689400
2025-01-24,16.06,16.45,16.05,16.2,533400
2025-01-23,15.78,16.0,15.63,15.99,425900
2025-01-22,15.9,16.04,15.69,15.84,540900
2025-01-21,15.83,16.05,15.46,15.79,897300
2025-01-17,15.84,15.927,15.54,15.75,688900
2025-01-16,15.76,15.85,15.65,15.77,491900
2025-01-15,15.83,15.93,15.63,15.71,519000
2025-01-14,15.46,15.9,15.34,15.59,532800
2025-01-13,15.4,15.56,15.081,15.32,819500
2025-01-10,15.67,15.81,15.47,15.55,606100
2025-01-08,15.8,16.03,15.71,15.8,405700
2025-01-07,16.23,16.282,15.47,15.92,1281200
2025-01-06,15.8,16.4,15.575,16.18,1170700
2025-01-03,15.69,16.005,15.53,15.95,818800
2025-01-02,16.12,16.21,15.4,15.69,900000
2024-12-31,15.98,16.08,15.81,15.92,617800
2024-12-30,15.9,16.12,15.541,15.93,452800
2024-12-27,16.02,16.14,15.665,16.12,591200
2024-12-26,15.92,16.13,15.69,16.08,452800
2024-12-24,16.23,16.23,15.86,16.01,246900
2024-12-23,16.24,16.56,15.89,16.19,1189800
2024-12-20,15.27,16.14,15.24,16.12,2902300
2024-12-19,15.7,16.0,15.52,15.61,757600
2024-12-18,15.98,16.325,15.425,15.48,865900
2024-12-17,15.85,16.04,15.72,15.92,992200
2024-12-16,15.5,16.16,15.45,15.95,1233300
2024-12-13,15.56,15.65,15.17,15.46,898000
2024-12-12,15.57,15.93,15.36,15.56,1277200
2024-12-11,14.95,15.58,14.84,15.4,1500000
2024-12-10,14.6,15.23,14.55,14.94,1315200
2024-12-09,14.82,14.95,14.26,14.79,664800
2024-12-06,13.9,14.71,13.8,14.69,1258400
2024-12-05,14.0,14.39,13.91,13.95,918600
2024-12-04,14.24,14.31,13.72,14.12,1235500
2024-12-03,13.6,14.46,13.36,14.4,1015000
2024-12-02,13.67,13.83,13.45,13.72,686100
2024-11-29,14.01,14.06,13.595,13.67,385800
