datetime,open,high,low,close,volume
2025-01-16,1.67,2.63,1.6,2.51,26402
2024-11-14,1.67,2.63,1.6,2.51,26402
2024-09-17,1.67,2.63,1.6,2.51,26402
2024-08-28,1.67,2.63,1.6,2.51,26402
2024-08-19,1.67,2.63,1.6,2.51,26402
2024-07-25,1.67,2.63,1.6,2.51,26402
2024-07-19,1.67,2.63,1.6,2.51,26402
2024-07-18,1.67,2.63,1.6,2.51,26402
2024-06-04,1.67,2.63,1.6,2.51,26402
2024-05-30,1.67,2.63,1.6,2.51,26402
2024-05-28,1.67,2.63,1.6,2.51,26402
2024-05-13,1.67,2.63,1.6,2.51,26402
2024-05-09,2.51,2.51,2.51,2.51,26402
2024-04-04,2.51,2.51,2.51,2.51,26402
2024-04-03,1.67,2.63,1.6,2.51,26402
