datetime,open,high,low,close,volume
2025-04-01,44.8,44.8,44.8,44.8,0
2025-03-31,44.8,44.8,44.8,44.8,179
2025-03-28,44.8,44.8,44.8,44.8,18
2025-03-27,44.8,44.8,44.8,44.8,0
2025-03-26,44.8,44.8,44.8,44.8,0
2025-03-25,44.8,44.8,44.8,44.8,644
2025-03-24,44.08,44.925,43.99,44.8,4161
2025-03-21,44.1,44.65,44.1,44.65,3817
2025-03-20,44.0,44.0,44.0,44.0,0
2025-03-19,44.0,44.0,44.0,44.0,234
2025-03-18,44.0,44.0,44.0,44.0,0
2025-03-17,44.0,44.0,44.0,44.0,1
2025-03-14,44.0,44.0,44.0,44.0,0
2025-03-13,44.0,44.0,44.0,44.0,299
2025-03-12,46.59,46.59,44.95,45.0506,565
2025-03-11,46.67,46.81,45.9,46.81,729
2025-03-10,45.65,46.8,45.65,46.33,3419
2025-03-07,37.35,37.35,37.35,37.35,0
2025-03-06,37.35,37.35,37.35,37.35,0
2025-03-05,37.35,37.35,37.35,37.35,0
2025-03-04,37.4065,37.4065,37.35,37.35,702
2025-03-03,39.0,39.0,39.0,39.0,2
2025-02-28,39.0,39.0,39.0,39.0,251
2025-02-27,39.0,39.0,39.0,39.0,0
2025-02-26,38.81,39.0,38.64,39.0,8272
2025-02-25,40.0,40.0,40.0,40.0,0
2025-02-24,39.57,40.0,39.57,40.0,237
2025-02-21,40.0,40.0,40.0,40.0,0
2025-02-20,40.0,40.0,40.0,40.0,704
2025-02-19,40.0,40.0,40.0,40.0,0
2025-02-18,40.35,40.51,40.0,40.0,548
2025-02-14,40.31,40.31,40.31,40.31,154
2025-02-13,39.91,40.31,39.91,40.31,343
2025-02-12,39.89,39.9,39.89,39.9,318
2025-02-11,40.41,40.41,40.41,40.41,3
2025-02-10,40.41,40.41,40.41,40.41,129
2025-02-07,40.41,40.41,40.41,40.41,383
2025-02-06,41.9,41.9,41.25,41.25,1383
2025-02-05,41.82,41.82,41.82,41.82,0
2025-02-04,41.82,41.82,41.82,41.82,567
2025-02-03,41.18,41.18,39.9,39.9,446
2025-01-31,41.52,41.52,41.52,41.52,0
2025-01-30,41.52,41.52,41.52,41.52,101
2025-01-29,41.5,41.52,41.04,41.52,878
2025-01-28,43.82,43.82,43.82,43.82,101
2025-01-27,43.82,43.82,43.82,43.82,100
2025-01-24,43.82,43.82,43.82,43.82,201
2025-01-23,43.82,43.82,43.82,43.82,0
2025-01-22,43.82,43.82,43.77,43.82,654
2025-01-21,43.7,43.7,43.7,43.7,0
2025-01-17,43.7,43.7,43.7,43.7,129
2025-01-16,43.05,43.05,43.05,43.05,0
2025-01-15,43.05,43.05,43.05,43.05,397
2025-01-14,41.75,42.29,41.75,42.25,1088
2025-01-13,41.9,41.9,41.61,41.61,919
2025-01-10,41.94,41.95,41.94,41.95,363
2025-01-08,42.28,42.28,41.79,41.79,287
2025-01-07,42.3,42.3,42.3,42.3,105
2025-01-06,42.3,42.3,42.3,42.3,104
2025-01-03,42.3,42.3,42.3,42.3,293
2025-01-02,44.06,44.06,44.06,44.06,1
2024-12-31,44.06,44.06,44.06,44.06,0
2024-12-30,44.06,44.06,44.06,44.06,0
2024-12-27,44.06,44.06,44.06,44.06,351
2024-12-26,44.31,44.31,44.31,44.31,1
2024-12-24,44.31,44.31,44.31,44.31,101
2024-12-23,44.31,44.31,44.31,44.31,101
2024-12-20,44.31,44.31,44.31,44.31,0
2024-12-19,44.31,44.31,44.31,44.31,0
2024-12-18,44.53,44.55,44.31,44.31,465
2024-12-17,45.81,45.81,45.29,45.3775,743
2024-12-16,46.76,46.76,46.76,46.76,0
2024-12-13,46.76,46.76,46.76,46.76,1
2024-12-12,46.76,46.76,46.76,46.76,0
2024-12-11,46.76,46.76,46.75,46.76,741
2024-12-10,45.775,45.775,45.775,45.775,0
2024-12-09,45.775,45.775,45.775,45.775,1
2024-12-06,45.91,45.91,45.775,45.775,424
2024-12-05,46.05,46.05,46.05,46.05,196
2024-12-04,50.26,50.26,49.5311,49.5311,322
2024-12-03,50.96,51.76,50.96,50.96,371
2024-12-02,52.9,52.9,52.9,52.9,0
2024-11-29,52.9,52.9,52.9,52.9,0
2024-11-27,52.9,52.9,52.9,52.9,0
2024-11-26,52.9,52.9,52.9,52.9,0
2024-11-25,52.9,52.9,52.9,52.9,247
2024-11-22,51.93,51.93,51.93,51.93,1
2024-11-21,51.93,51.93,51.93,51.93,0
2024-11-20,51.93,51.93,51.93,51.93,0
2024-11-19,51.93,51.93,51.93,51.93,0
2024-11-18,51.93,51.93,51.93,51.93,1
2024-11-15,51.93,51.93,51.93,51.93,1
2024-11-14,51.93,51.93,51.93,51.93,101
2024-11-13,51.93,51.93,51.93,51.93,1
2024-11-12,51.93,51.93,51.93,51.93,0
2024-11-11,51.93,51.93,51.93,51.93,1
2024-11-08,51.93,51.93,51.93,51.93,128
2024-11-07,52.2929,52.2929,52.13,52.13,724
2024-11-06,49.44,49.44,49.44,49.44,0
2024-11-05,49.44,49.44,49.44,49.44,154
2024-11-04,49.92,49.92,49.3,49.3,416
2024-11-01,49.39,49.78,49.39,49.78,371
2024-10-31,49.06,49.06,49.06,49.06,0
2024-10-30,49.06,49.06,49.06,49.06,266
2024-10-29,49.29,49.29,49.29,49.29,333
2024-10-28,49.63,49.63,49.63,49.63,121
2024-10-25,49.24,49.27,49.24,49.27,339
2024-10-24,49.24,49.25,49.24,49.25,242
2024-10-23,49.08,49.08,49.08,49.08,231
2024-10-22,50.2,50.2,50.2,50.2,0
2024-10-21,50.2,50.2,50.2,50.2,1
2024-10-18,50.19,50.2,50.19,50.2,253
2024-10-17,50.88,50.88,50.88,50.88,235
2024-10-16,50.03,50.03,50.03,50.03,1
2024-10-15,50.03,50.03,50.03,50.03,254
2024-10-14,49.77,49.77,49.77,49.77,231
2024-10-11,49.51,49.51,49.5099,49.5099,457
2024-10-10,48.91,49.34,48.91,49.34,236
2024-10-09,49.14,49.23,49.14,49.23,282
2024-10-08,50.3,50.3,50.3,50.3,0
2024-10-07,50.45,50.45,50.135,50.3,677
2024-10-04,49.49,49.49,49.49,49.49,0
2024-10-03,49.13,49.95,49.13,49.49,3625
2024-10-02,48.45,48.45,48.45,48.45,1
2024-10-01,48.44,48.45,48.44,48.45,257
2024-09-30,48.26,48.4,48.26,48.3,586
2024-09-27,47.935,47.935,47.935,47.935,310
2024-09-26,46.52,46.52,46.52,46.52,370
2024-09-25,46.76,46.76,46.76,46.76,0
2024-09-24,46.76,46.76,46.76,46.76,1
2024-09-23,46.76,46.76,46.76,46.76,1
2024-09-20,46.35,46.76,46.35,46.76,689
2024-09-19,46.75,46.75,46.75,46.75,245
2024-09-18,46.56,46.56,46.56,46.56,0
2024-09-17,46.56,46.56,46.56,46.56,259
2024-09-16,46.4,46.4,46.4,46.4,140
2024-09-13,44.3,46.25,44.3,46.25,720
2024-09-12,42.69,42.69,42.69,42.69,114
2024-09-11,42.71,42.71,42.71,42.71,353
2024-09-10,42.94,42.94,42.94,42.94,169
2024-09-09,42.62,42.62,42.62,42.62,443
2024-09-06,42.41,42.41,42.41,42.41,243
2024-09-05,48.58,48.58,42.41,42.41,851
2024-09-04,47.58,47.58,47.58,47.58,262
2024-09-03,46.77,46.77,46.77,46.77,341
2024-08-30,46.77,46.77,46.77,46.77,0
2024-08-29,46.77,46.77,46.77,46.77,16
2024-08-28,47.37,47.37,46.77,46.77,345
2024-08-27,47.29,47.29,47.29,47.29,114
2024-08-26,47.175,47.175,47.175,47.175,113
2024-08-23,45.82,45.82,45.82,45.82,106
2024-08-22,46.05,46.05,46.05,46.05,116
2024-08-21,45.41,45.41,45.41,45.41,241
2024-08-20,45.3,45.41,45.27,45.41,1236
2024-08-19,46.1,46.1,45.76,45.76,329
2024-08-16,45.355,45.355,45.355,45.355,160
2024-08-15,44.77,45.75,44.77,45.75,373
2024-08-14,44.69,44.69,44.69,44.69,246
2024-08-13,45.33,45.33,45.33,45.33,0
2024-08-12,45.33,45.33,45.33,45.33,138
2024-08-09,44.9,45.05,44.9,45.05,290
2024-08-08,44.77,44.77,44.77,44.77,164
2024-08-07,45.0,45.0,45.0,45.0,28
2024-08-06,45.0,45.0,45.0,45.0,41
2024-08-05,45.0,45.0,45.0,45.0,214
2024-08-02,48.05,48.05,48.05,48.05,8
2024-08-01,48.05,48.05,48.05,48.05,188
2024-07-31,48.19,48.19,48.19,48.19,0
2024-07-30,48.19,48.19,48.19,48.19,0
2024-07-29,48.19,48.19,48.19,48.19,12
2024-07-26,48.19,48.19,48.19,48.19,0
2024-07-25,48.19,48.19,48.19,48.19,0
2024-07-24,48.19,48.19,48.19,48.19,65
2024-07-23,48.19,48.19,48.19,48.19,0
2024-07-22,48.19,48.19,48.19,48.19,89
2024-07-19,48.19,48.19,48.19,48.19,76
2024-07-18,48.19,48.19,48.19,48.19,0
2024-07-17,48.19,48.19,48.19,48.19,115
2024-07-16,47.66,47.66,47.66,47.66,468
2024-07-15,44.88,44.88,44.88,44.88,96
2024-07-12,44.88,44.88,44.88,44.88,0
2024-07-11,44.88,44.88,44.88,44.88,0
2024-07-10,44.88,44.88,44.88,44.88,400
2024-07-09,44.58,44.58,44.58,44.58,0
2024-07-08,44.54,44.58,44.54,44.58,595
2024-07-05,40.94,40.94,40.94,40.94,19
2024-07-03,40.94,40.94,40.94,40.94,0
2024-07-02,40.94,40.94,40.94,40.94,63
2024-07-01,40.94,40.94,40.94,40.94,0
2024-06-28,40.94,40.94,40.94,40.94,36
2024-06-27,40.94,40.94,40.94,40.94,143
2024-06-26,40.83,40.83,40.83,40.83,124
2024-06-25,40.58,40.58,40.58,40.58,167
2024-06-24,40.09,40.09,40.09,40.09,120
2024-06-21,39.64,39.64,39.64,39.64,0
2024-06-20,39.03,39.64,39.03,39.64,265
2024-06-18,39.21,39.21,39.21,39.21,191
2024-06-17,39.54,39.54,39.3301,39.3301,429
2024-06-14,39.1432,39.71,39.1432,39.71,856
2024-06-13,36.7,43.26,36.7,41.14,8424
2024-06-12,35.7,35.7,35.7,35.7,0
2024-06-11,35.7,35.7,35.7,35.7,0
2024-06-10,35.7,35.7,35.7,35.7,0
2024-06-07,35.7,35.7,35.7,35.7,0
2024-06-06,35.76,35.76,35.7,35.7,298
2024-06-05,35.68,35.68,35.68,35.68,0
2024-06-04,36.25,36.25,35.68,35.68,599
2024-06-03,36.13,36.13,36.13,36.13,137
2024-05-31,36.1,36.1,36.1,36.1,345
2024-05-30,36.46,36.46,36.46,36.46,216
2024-05-29,36.11,36.15,36.11,36.15,364
2024-05-28,37.11,37.11,37.11,37.11,284
2024-05-24,38.2,38.2,38.2,38.2,0
2024-05-23,38.2,38.2,38.2,38.2,0
2024-05-22,38.2,38.2,38.2,38.2,0
2024-05-21,38.2,38.2,38.2,38.2,0
2024-05-20,38.6009,38.6009,38.2,38.2,731
2024-05-17,38.585,38.585,38.585,38.585,167
2024-05-16,38.37,38.37,38.37,38.37,0
2024-05-15,38.37,38.37,38.37,38.37,148
2024-05-14,38.33,38.33,37.99,37.99,309
2024-05-13,38.41,38.41,38.41,38.41,103
2024-05-10,38.2,38.26,38.01,38.05,847
2024-05-09,39.0,39.0,39.0,39.0,143
2024-05-08,38.34,38.85,38.34,38.85,344
2024-05-07,38.8,38.8,38.13,38.13,674
2024-05-06,38.13,38.13,38.13,38.13,0
2024-05-03,38.13,38.13,38.13,38.13,0
2024-05-02,37.82,38.13,37.82,38.13,1526
2024-05-01,38.0,38.0,38.0,38.0,0
2024-04-30,38.0,38.0,38.0,38.0,0
2024-04-29,38.0,38.0,38.0,38.0,103
2024-04-26,38.05,38.05,38.05,38.05,473
2024-04-25,37.9,37.9,37.9,37.9,153
2024-04-24,38.2,38.2,38.2,38.2,298
2024-04-23,38.5,38.5,38.5,38.5,124
2024-04-22,37.35,37.35,37.35,37.35,0
2024-04-19,37.26,37.35,37.26,37.35,313
2024-04-18,35.99,36.54,35.99,36.48,734
2024-04-17,36.05,36.05,36.01,36.01,892
2024-04-16,39.2,39.2,39.2,39.2,0
