datetime,open,high,low,close,volume
2025-04-01,51.97,52.36,51.26,52.13,318700
2025-03-31,51.22,52.14,50.89,51.87,255800
2025-03-28,52.75,52.96,51.49,51.78,207600
2025-03-27,53.13,53.37,52.53,52.89,241900
2025-03-26,53.21,53.82,52.63,53.09,258200
2025-03-25,53.07,53.72,52.52,53.03,233300
2025-03-24,52.54,53.68,52.54,53.32,251800
2025-03-21,51.53,52.84,50.57,52.05,1086500
2025-03-20,52.19,52.89,51.57,51.68,479700
2025-03-19,52.09,53.35,51.68,52.69,468600
2025-03-18,51.79,52.23,51.64,52.07,308500
2025-03-17,51.92,52.32,51.5,52.06,344100
2025-03-14,51.2,52.37,51.04,52.0,444200
2025-03-13,50.77,51.55,50.6,50.62,463900
2025-03-12,50.34,50.95,49.65,50.57,360300
2025-03-11,50.91,51.41,49.73,49.95,399800
2025-03-10,51.66,52.38,50.36,50.54,438300
2025-03-07,51.46,52.66,51.08,52.46,339900
2025-03-06,51.81,52.66,51.09,51.59,232700
2025-03-05,52.66,53.8,51.54,52.31,291500
2025-03-04,53.49,55.02,52.28,52.45,409600
2025-03-03,54.21,55.42,53.69,54.0,341600
2025-02-28,53.79,54.93,53.19,54.29,332300
2025-02-27,53.11,53.76,53.11,53.49,181600
2025-02-26,53.57,54.19,52.48,53.32,222700
2025-02-25,53.84,55.52,53.14,53.73,232700
2025-02-24,54.88,55.2,53.47,53.54,301600
2025-02-21,56.78,57.56,54.61,54.64,276300
2025-02-20,56.24,56.88,55.09,56.18,240300
2025-02-19,56.99,57.35,56.03,56.54,201400
2025-02-18,56.9,57.18,55.59,56.76,219800
2025-02-14,56.61,57.3,55.56,56.04,140200
2025-02-13,56.64,56.81,55.8,56.47,133400
2025-02-12,57.52,57.79,55.9,56.3,257000
2025-02-11,56.32,58.54,56.03,58.45,228500
2025-02-10,57.34,57.85,56.33,56.8,195900
2025-02-07,59.12,59.13,57.06,57.15,287200
2025-02-06,58.65,59.43,58.43,59.33,225600
2025-02-05,57.56,58.68,55.73,58.54,292600
2025-02-04,55.43,57.29,55.02,57.22,185400
2025-02-03,54.74,55.86,53.9,55.5,215500
2025-01-31,55.41,56.4,53.81,56.0,330500
2025-01-30,56.04,56.39,54.88,55.6,289900
2025-01-29,55.39,56.99,54.77,55.58,253200
2025-01-28,53.69,57.05,53.69,55.52,253400
2025-01-27,53.95,56.14,53.63,54.79,268100
2025-01-24,53.14,54.2,52.95,53.84,181400
2025-01-23,53.32,54.28,53.13,53.52,205300
2025-01-22,54.47,54.64,53.63,53.65,319800
2025-01-21,53.22,55.5,52.62,54.82,279300
2025-01-17,53.96,54.22,53.3,54.12,269000
2025-01-16,53.78,54.01,52.98,53.44,290500
2025-01-15,54.78,55.36,53.7,53.98,282200
2025-01-14,52.12,53.4,51.69,53.26,612600
2025-01-13,49.93,51.57,49.88,51.5,276800
2025-01-10,51.32,51.45,49.9,50.36,241700
2025-01-08,52.12,52.83,51.75,52.49,260400
2025-01-07,53.32,53.78,51.88,52.62,229500
2025-01-06,53.4,54.54,53.13,53.32,255100
2025-01-03,52.25,53.33,51.27,53.29,218800
2025-01-02,53.54,53.82,51.92,51.94,196500
2024-12-31,53.32,53.87,52.88,53.13,148500
2024-12-30,53.02,53.51,52.37,53.22,205800
2024-12-27,53.92,54.39,52.7,53.39,223900
2024-12-26,53.65,54.45,53.04,54.29,147500
2024-12-24,53.6,54.18,53.11,53.96,134800
2024-12-23,52.51,53.73,52.4,53.7,340900
2024-12-20,52.14,53.82,52.14,52.9,872500
2024-12-19,54.15,55.37,52.59,52.61,411100
2024-12-18,57.12,57.25,53.0,53.22,419600
2024-12-17,57.61,58.41,56.43,56.45,655900
2024-12-16,57.94,58.09,57.27,58.08,238200
2024-12-13,58.13,58.47,57.39,58.13,211000
2024-12-12,59.0,59.1,58.12,58.2,256800
2024-12-11,59.66,59.81,59.08,59.09,378000
2024-12-10,59.47,59.87,58.38,58.82,443400
2024-12-09,59.79,60.17,59.15,59.17,200400
2024-12-06,59.86,59.86,58.63,59.55,275300
2024-12-05,60.23,60.56,59.16,59.3,285800
2024-12-04,59.08,60.2,58.87,60.11,227700
2024-12-03,59.79,60.51,58.92,59.04,299400
2024-12-02,60.35,60.4,59.05,59.83,275300
2024-11-29,61.1,61.1,59.67,60.02,186600
2024-11-27,60.75,61.25,60.34,60.43,320600
2024-11-26,60.51,60.73,59.8,60.14,280000
2024-11-25,61.5,62.75,60.92,61.09,428900
2024-11-22,58.76,60.6,58.6,60.48,255600
2024-11-21,57.97,59.22,57.57,58.71,326100
2024-11-20,57.67,58.57,56.56,57.5,186400
2024-11-19,56.85,57.86,55.62,57.5,308700
2024-11-18,57.62,58.34,57.46,57.91,212200
2024-11-15,57.86,58.23,56.5,57.47,258300
2024-11-14,58.7,59.02,56.69,57.52,323700
2024-11-13,59.1,60.55,58.21,58.54,464700
2024-11-12,57.41,59.13,57.08,58.46,495800
2024-11-11,56.98,58.32,55.25,57.45,266100
2024-11-08,56.19,57.92,55.48,55.96,285800
2024-11-07,58.39,58.39,55.11,55.99,386700
2024-11-06,54.86,59.26,54.85,58.68,737800
2024-11-05,49.47,50.77,49.32,50.5,219500
2024-11-04,49.3,49.7,48.59,49.27,207300
2024-11-01,49.49,49.87,49.27,49.64,212000
2024-10-31,49.94,50.2,49.17,49.17,187400
2024-10-30,49.61,51.13,49.61,50.0,197400
2024-10-29,49.64,49.94,49.25,49.85,203300
2024-10-28,48.09,50.29,47.87,50.0,276900
2024-10-25,51.56,52.06,48.98,49.1,280900
2024-10-24,50.91,51.35,49.94,50.73,217900
2024-10-23,50.32,51.03,50.03,50.65,134700
2024-10-22,50.0,50.74,49.82,50.59,157200
2024-10-21,51.95,52.05,49.81,49.97,195800
2024-10-18,52.79,52.79,51.9,51.97,213200
2024-10-17,52.49,52.84,51.93,52.71,195300
2024-10-16,52.04,52.9,51.84,52.3,375000
2024-10-15,51.46,52.88,51.28,51.34,305600
2024-10-14,50.66,51.48,50.45,51.32,134400
2024-10-11,49.36,51.1,49.27,50.72,426100
2024-10-10,48.61,49.83,48.19,49.2,461400
2024-10-09,48.6,49.76,48.47,49.12,287900
2024-10-08,49.7,49.8,48.82,48.85,254800
2024-10-07,48.85,49.55,48.58,49.47,230200
2024-10-04,49.43,49.97,49.01,49.17,186700
2024-10-03,48.57,49.0,48.08,48.57,214200
2024-10-02,49.12,50.0,48.67,48.79,228600
2024-10-01,50.78,51.09,49.11,49.32,257200
2024-09-30,49.87,51.09,49.45,50.99,191600
2024-09-27,50.71,51.03,49.84,50.1,222600
2024-09-26,50.19,54.03,49.45,50.16,311800
2024-09-25,50.42,50.42,49.36,49.43,266300
2024-09-24,51.75,51.97,50.28,50.33,295100
2024-09-23,52.62,52.74,51.43,51.68,347900
2024-09-20,53.32,53.32,52.19,52.44,1283900
2024-09-19,54.13,54.39,53.13,53.48,360800
2024-09-18,52.78,54.96,51.91,52.65,324700
2024-09-17,52.98,54.03,52.41,52.76,250500
2024-09-16,52.21,52.88,51.31,52.24,255000
2024-09-13,51.53,52.02,50.95,51.97,209200
2024-09-12,50.46,50.79,49.55,50.74,186000
2024-09-11,50.56,50.56,49.15,50.15,241000
2024-09-10,51.38,51.38,49.86,51.27,209800
2024-09-09,51.15,51.37,50.56,51.08,202800
2024-09-06,52.67,52.98,50.97,51.03,217200
2024-09-05,53.43,53.44,52.02,52.45,151500
2024-09-04,53.28,54.0,52.87,53.04,147400
2024-09-03,54.13,54.74,53.29,53.47,205200
2024-08-30,54.49,54.84,53.74,54.74,177000
2024-08-29,54.36,54.69,53.22,54.22,222100
2024-08-28,53.13,54.27,53.13,53.91,126300
2024-08-27,53.91,53.91,53.11,53.19,222200
2024-08-26,55.99,55.99,54.14,54.25,253800
2024-08-23,52.14,55.93,51.7,55.37,308500
2024-08-22,51.38,52.3,51.15,51.76,163400
2024-08-21,51.69,51.69,50.86,51.49,134300
2024-08-20,51.98,51.98,51.0,51.16,172500
2024-08-19,51.53,52.2,51.36,52.1,177500
2024-08-16,50.41,51.85,50.41,51.48,244400
2024-08-15,50.47,51.3,50.26,50.57,191200
2024-08-14,49.87,50.09,48.84,49.2,158200
2024-08-13,49.76,50.64,48.61,49.65,167700
2024-08-12,50.42,51.13,49.05,49.18,183200
2024-08-09,50.03,50.36,49.46,49.99,190400
2024-08-08,50.7,50.7,49.86,50.21,282400
2024-08-07,50.74,51.31,49.33,49.71,246000
2024-08-06,49.8,50.68,49.27,49.81,271500
2024-08-05,49.17,50.76,47.6,49.95,398500
2024-08-02,51.9,52.64,50.83,51.92,420600
2024-08-01,56.42,56.42,53.4,54.18,344200
2024-07-31,56.67,58.1,56.32,56.49,362700
2024-07-30,56.84,57.69,56.29,56.67,317400
2024-07-29,57.42,57.62,56.12,56.6,375300
2024-07-26,58.13,58.59,55.38,56.86,520300
2024-07-25,56.55,58.17,56.26,57.09,387200
2024-07-24,56.84,57.61,56.07,56.13,260100
2024-07-23,55.52,58.12,55.17,57.21,349600
2024-07-22,54.54,56.29,53.8,56.1,175200
2024-07-19,55.06,56.43,54.76,54.82,319200
2024-07-18,55.54,57.0,54.45,55.01,514100
2024-07-17,53.85,56.85,53.34,55.83,771600
2024-07-16,51.25,54.52,50.83,54.36,576100
2024-07-15,50.22,51.47,49.93,50.74,499700
2024-07-12,49.39,50.46,48.92,49.45,495100
2024-07-11,48.0,49.33,47.5,48.91,407100
2024-07-10,46.46,47.07,46.08,46.89,204100
2024-07-09,45.47,46.34,45.42,46.28,224500
2024-07-08,46.53,46.88,45.6,45.65,222000
2024-07-05,46.45,46.45,45.93,46.1,140900
2024-07-03,47.23,47.23,46.32,46.48,94300
2024-07-02,46.41,47.32,46.41,47.09,128000
2024-07-01,46.85,47.57,46.06,46.4,229300
2024-06-28,46.63,47.52,46.05,47.0,512300
2024-06-27,45.53,46.06,45.3,46.02,141600
2024-06-26,44.6,45.69,44.53,45.36,217600
2024-06-25,45.2,45.55,44.98,45.04,248700
2024-06-24,44.57,45.79,44.31,45.47,199100
2024-06-21,44.79,44.79,43.99,44.27,978500
2024-06-20,44.7,45.19,44.6,44.8,207800
2024-06-18,44.07,45.48,43.86,45.1,272400
2024-06-17,42.98,44.01,42.78,44.01,196300
2024-06-14,43.22,43.51,42.87,43.21,172100
2024-06-13,44.38,44.38,43.3,43.81,176700
2024-06-12,44.29,45.17,43.94,44.54,281100
2024-06-11,42.44,43.22,42.21,42.79,308400
2024-06-10,43.26,43.31,42.4,42.8,281200
2024-06-07,43.21,43.84,43.21,43.79,161700
2024-06-06,42.92,43.91,42.92,43.77,230200
2024-06-05,43.27,43.55,42.68,43.1,221200
2024-06-04,43.03,43.48,42.92,43.0,221900
2024-06-03,44.77,45.08,43.35,43.49,232600
2024-05-31,43.74,44.18,43.05,44.06,303600
2024-05-30,43.12,43.65,42.96,43.32,215300
2024-05-29,42.95,43.03,42.62,42.67,236900
2024-05-28,44.02,44.18,43.54,43.82,201700
2024-05-24,44.15,44.23,43.56,43.97,177100
2024-05-23,44.95,44.95,43.45,43.8,293000
2024-05-22,45.08,45.18,44.54,44.73,186400
2024-05-21,45.42,45.81,45.15,45.28,122400
2024-05-20,46.46,46.5,45.5,45.57,109500
2024-05-17,46.77,46.88,46.18,46.37,158900
2024-05-16,46.42,46.69,46.23,46.48,194800
2024-05-15,47.15,47.55,46.31,46.42,246800
2024-05-14,46.54,46.73,45.96,46.66,159200
2024-05-13,46.73,46.73,45.83,45.87,190700
2024-05-10,46.44,46.6,45.9,46.18,152400
2024-05-09,46.27,46.58,46.03,46.5,196800
2024-05-08,45.2,46.28,45.2,46.26,160500
2024-05-07,46.5,46.95,45.78,45.81,217000
2024-05-06,46.39,47.25,46.22,46.28,274600
2024-05-03,45.65,46.13,45.29,46.07,239400
2024-05-02,44.13,44.92,43.77,44.87,235400
2024-05-01,42.99,44.85,42.91,43.78,233200
2024-04-30,42.87,43.09,42.48,42.73,241500
2024-04-29,43.19,43.99,42.81,43.11,287100
2024-04-26,43.89,44.37,42.63,42.85,294300
2024-04-25,44.67,44.96,43.75,44.53,454500
2024-04-24,44.41,45.23,43.93,45.08,232100
2024-04-23,43.89,45.13,42.59,44.96,231500
2024-04-22,43.2,44.38,42.37,43.9,240500
2024-04-19,41.58,43.31,41.58,43.27,270200
2024-04-18,41.64,42.47,41.64,41.85,226100
2024-04-17,42.22,42.57,41.67,41.74,251300
2024-04-16,41.87,42.2,41.33,41.88,250600
2024-04-15,42.9,43.4,41.9,42.37,176000
2024-04-12,42.21,42.77,41.92,42.75,208000
2024-04-11,42.72,42.98,42.25,42.72,208800
2024-04-10,43.41,43.41,41.61,42.29,323100
2024-04-09,44.36,44.92,44.21,44.88,139300
2024-04-08,43.33,44.33,43.33,44.04,113000
2024-04-05,42.95,43.51,42.82,43.25,115900
2024-04-04,44.1,44.37,43.05,43.16,159600
2024-04-03,43.06,43.64,43.06,43.46,185100
2024-04-02,43.5,43.79,42.89,43.38,264300
