datetime,open,high,low,close,volume
2025-04-01,110.66,113.14,108.84,112.46,352100
2025-03-31,111.08,113.01,109.57,112.46,455000
2025-03-28,113.69,114.95,111.06,112.12,332200
2025-03-27,115.29,116.55,112.95,113.86,297500
2025-03-26,116.56,118.02,114.58,114.95,213800
2025-03-25,115.37,117.16,114.67,115.99,379000
2025-03-24,115.25,116.55,114.56,116.28,398200
2025-03-21,113.07,114.58,111.73,113.45,1754000
2025-03-20,112.72,115.57,112.72,114.04,601900
2025-03-19,111.95,115.01,111.71,113.9,334200
2025-03-18,111.83,113.23,111.33,112.0,414200
2025-03-17,110.79,112.87,109.8,112.51,529400
2025-03-14,108.93,110.98,108.24,110.85,307700
2025-03-13,110.16,112.03,107.59,107.76,405600
2025-03-12,110.19,111.08,108.53,109.77,383900
2025-03-11,107.97,110.46,106.87,108.36,417700
2025-03-10,111.26,112.29,106.56,107.76,565400
2025-03-07,112.88,113.78,109.51,112.86,577400
2025-03-06,114.38,115.1,112.0,113.06,451800
2025-03-05,116.09,116.58,113.21,115.84,388500
2025-03-04,120.21,121.63,113.74,115.76,736900
2025-03-03,124.8,125.99,121.17,121.83,417400
2025-02-28,123.25,124.95,122.57,124.47,439200
2025-02-27,123.68,125.33,122.54,122.8,368500
2025-02-26,122.23,124.85,122.11,123.3,266800
2025-02-25,124.96,125.84,122.05,122.8,464700
2025-02-24,124.3,125.03,122.59,123.71,394000
2025-02-21,129.57001,129.57001,123.67,123.8,299100
2025-02-20,130.22,130.92,127.41,128.82001,291700
2025-02-19,130.87,131.72,129.96001,130.8,270700
2025-02-18,130.03,133.37,129.61,131.55,408700
2025-02-14,130.00999,131.0,128.87,129.61,458800
2025-02-13,129.50999,130.99001,128.86,129.91,373700
2025-02-12,130.86,131.2,129.5,129.99001,395800
2025-02-11,128.87,132.55,128.47,132.39,465200
2025-02-10,130.66,130.66,128.37,129.07001,401300
2025-02-07,131.34,132.03,129.11,130.03999,293400
2025-02-06,130.28999,131.32001,128.85001,131.19,291900
2025-02-05,129.78999,129.88,127.82,129.61,339800
2025-02-04,127.23,129.66,126.66,129.13,298000
2025-02-03,127.17,129.55,125.61,127.25,438700
2025-01-31,131.97,132.75999,130.60001,130.81,321000
2025-01-30,134.08,134.37,130.31,131.89,433700
2025-01-29,131.83,133.89999,131.42999,132.83,531700
2025-01-28,129.32001,132.36,128.67,132.11,571500
2025-01-27,131.75999,133.35001,129.56,129.91,581900
2025-01-24,134.63,134.63,130.89999,131.78999,648500
2025-01-23,134.85001,135.03999,132.19,133.03,653400
2025-01-22,137.95,137.95,129.61,133.28999,699700
2025-01-21,136.14999,137.87,135.82001,136.92,461600
2025-01-17,134.16,135.42999,132.84,135.05,906600
2025-01-16,132.39999,134.52,132.00999,133.45,453200
2025-01-15,135.48,135.48,131.61,133.45,541900
2025-01-14,127.86,131.21001,126.6,130.34,440100
2025-01-13,123.75,126.91,123.75,126.52,360500
2025-01-10,125.97,126.54,122.66,124.61,432600
2025-01-08,126.95,129.28999,126.11,128.25999,477100
2025-01-07,128.78,129.03,125.32,127.58,413800
2025-01-06,126.54,129.69,125.86,127.68,450300
2025-01-03,124.36,129.89,122.37,125.81,250200
2025-01-02,125.06,126.58,123.81,124.01,386500
2024-12-31,125.22,125.58,124.07,124.71,234400
2024-12-30,124.64,125.63,123.29,124.41,306600
2024-12-27,125.87,126.76,123.92,125.21,195500
2024-12-26,125.13,126.74,124.77,126.5,157300
2024-12-24,124.27,125.99,123.98,125.93,111100
2024-12-23,123.6,125.87,123.21,124.42,408000
2024-12-20,122.32,125.48,121.95,124.17,1518300
2024-12-19,127.17,127.66,122.53,122.72,661600
2024-12-18,131.11,132.38,124.42,124.65,819400
2024-12-17,130.92999,131.83,129.52,130.25,458500
2024-12-16,131.34,131.77,129.97,131.64,302500
2024-12-13,133.56,133.8,131.03,131.41,431000
2024-12-12,134.33,134.75,132.77,133.14999,390300
2024-12-11,134.44,135.25999,133.21001,134.13,322100
2024-12-10,133.71001,134.8,131.89,132.36,258300
2024-12-09,136.87,137.0,132.97,133.06,305500
2024-12-06,137.44,137.60001,134.34,136.75,237100
2024-12-05,139.38,139.38,136.25999,136.46001,380800
2024-12-04,136.8,137.74001,135.36,137.48,342500
2024-12-03,137.64,138.34,134.2,136.27,747100
2024-12-02,138.67999,138.67999,136.62,137.28999,501600
2024-11-29,139.92999,141.00999,137.42,138.00999,260800
2024-11-27,139.39,140.42,138.14999,138.5,336900
2024-11-26,137.64999,138.97,136.07001,137.89,487400
2024-11-25,138.84,142.03999,137.88,138.28999,635600
2024-11-22,133.78999,137.32001,133.78999,137.08,365900
2024-11-21,131.42,134.53999,130.92999,133.63,312200
2024-11-20,130.75999,131.25,129.53,130.83,370700
2024-11-19,129.49001,132.0,129.49001,131.12,279400
2024-11-18,132.17999,132.91,130.32001,132.25,313900
2024-11-15,131.21001,132.35001,128.75,131.75999,509000
2024-11-14,132.7,133.14,130.2,130.95,350900
2024-11-13,134.21001,136.08,132.46001,132.62,284500
2024-11-12,132.67999,134.35001,132.0,133.66,364400
2024-11-11,130.88,134.82001,130.77,133.03,545200
2024-11-08,127.23,129.21001,125.99,128.60001,382800
2024-11-07,129.67,129.67,126.81,127.13,604500
2024-11-06,123.46,131.66,123.46,131.42999,1198900
2024-11-05,113.72,115.38,113.72,115.15,223600
2024-11-04,114.36,114.36,111.86,113.29,276900
2024-11-01,117.01,117.12,114.18,114.39,383500
2024-10-31,117.49,118.06,115.74,115.89,342500
2024-10-30,114.6,118.69,114.6,117.56,374600
2024-10-29,116.06,116.48,115.05,115.69,408100
2024-10-28,113.78,116.35,113.56,116.06,307300
2024-10-25,114.89,115.91,112.32,113.02,305300
2024-10-24,114.72,115.28,112.73,114.17,365600
2024-10-23,115.44,116.4,113.36,114.33,518100
2024-10-22,106.18,115.37,105.75,114.76,704200
2024-10-21,115.35,115.8,112.07,112.29,632900
2024-10-18,116.85,116.88,115.04,115.37,415700
2024-10-17,114.85,117.77,114.75,117.01,485300
2024-10-16,113.69,115.82,113.63,114.69,272700
2024-10-15,112.72,116.42,111.86,112.7,454700
2024-10-14,111.27,112.9,110.1,112.21,248700
2024-10-11,107.67,111.55,107.67,111.0,385400
2024-10-10,107.46,108.27,106.38,106.87,283200
2024-10-09,105.43,108.37,105.43,107.61,304700
2024-10-08,106.5,106.73,105.46,105.47,181600
2024-10-07,106.2,107.02,105.24,106.28,278100
2024-10-04,106.5,107.99,105.7,106.6,294900
2024-10-03,103.83,105.06,103.2,104.57,445400
2024-10-02,103.97,105.0,102.34,104.15,389100
2024-10-01,107.77,107.77,104.07,104.57,441100
2024-09-30,106.33,108.78,105.67,108.53,358600
2024-09-27,107.74,108.14,106.27,106.55,283100
2024-09-26,107.24,108.04,105.87,107.06,219300
2024-09-25,107.49,107.49,105.53,106.03,349000
2024-09-24,108.35,109.18,107.14,107.66,307200
2024-09-23,108.5,109.06,107.12,108.21,336900
2024-09-20,109.84,109.98,108.06,108.26,1191000
2024-09-19,109.97,110.93,108.72,110.2,504400
2024-09-18,108.21,110.6,106.88,107.82,407900
2024-09-17,107.15,109.6,106.83,108.07,406200
2024-09-16,105.13,107.44,104.3,106.57,311000
2024-09-13,103.75,105.21,103.75,105.08,228600
2024-09-12,102.51,103.06,100.27,102.59,231200
2024-09-11,103.42,103.42,100.05,102.1,387000
2024-09-10,105.61,105.7,102.57,104.34,282100
2024-09-09,103.58,106.48,103.32,105.69,409300
2024-09-06,105.4,106.27,102.71,103.37,278700
2024-09-05,106.97,107.11,104.79,105.28,193600
2024-09-04,107.03,108.52,105.89,106.26,458400
2024-09-03,107.81,109.06,106.94,107.66,368900
2024-08-30,107.57,108.96,106.77,108.8,202300
2024-08-29,107.69,108.41,106.42,107.29,158600
2024-08-28,105.11,107.32,105.11,107.22,306900
2024-08-27,105.81,106.27,104.47,105.5,229400
2024-08-26,108.74,109.6,105.79,105.89,274000
2024-08-23,103.29,108.8,103.19,107.65,418400
2024-08-22,102.26,103.6,101.77,102.85,266300
2024-08-21,101.77,102.3,100.39,102.23,238300
2024-08-20,102.4,102.4,100.5,100.75,235500
2024-08-19,100.72,102.65,100.6,102.56,321200
2024-08-16,100.34,102.4,99.92,100.65,211500
2024-08-15,99.69,101.3,99.5,100.63,297600
2024-08-14,97.8,97.8,96.59,97.58,271400
2024-08-13,98.32,98.32,96.95,97.5,293300
2024-08-12,98.51,99.63,97.25,97.73,301600
2024-08-09,98.05,98.54,97.1,98.09,312100
2024-08-08,97.32,98.42,96.35,98.14,265400
2024-08-07,98.44,99.4,96.57,96.67,372600
2024-08-06,97.1,98.79,95.66,97.11,524800
2024-08-05,96.89,97.66,93.54,96.66,755700
2024-08-02,101.53,101.53,98.99,100.62,561700
2024-08-01,108.13,108.48,103.85,105.09,532300
2024-07-31,109.7,110.91,108.11,108.2,1222000
2024-07-30,108.8,110.02,108.32,109.53,523900
2024-07-29,110.15,110.15,107.9,108.24,518700
2024-07-26,109.64,110.81,109.56,110.13,402600
2024-07-25,107.33,110.83,106.08,108.87,564100
2024-07-24,109.69,110.78,106.97,107.06,573400
2024-07-23,107.72,110.95,107.57,110.34,544900
2024-07-22,105.12,108.59,103.52,108.37,561000
2024-07-19,104.65,107.1,104.46,105.02,612800
2024-07-18,111.85,113.25,105.49,106.26,1094400
2024-07-17,110.04,113.68,110.01,111.83,802000
2024-07-16,106.81,112.11,106.32,111.89,652000
2024-07-15,105.24,107.45,105.11,106.52,537900
2024-07-12,104.08,104.9,103.64,104.06,458300
2024-07-11,100.65,104.01,100.32,103.81,528500
2024-07-10,98.62,100.25,98.62,100.16,368400
2024-07-09,96.48,99.01,96.05,98.63,219800
2024-07-08,97.46,97.98,95.85,96.46,362800
2024-07-05,98.05,98.39,96.11,96.43,739000
2024-07-03,99.86,99.98,98.01,98.1,254900
2024-07-02,99.34,100.24,98.68,100.07,319000
2024-07-01,98.59,99.8,98.33,99.47,257900
2024-06-28,96.44,98.7,96.44,98.56,504600
2024-06-27,95.63,96.22,94.97,95.7,353000
2024-06-26,95.96,96.0,95.27,95.4,317100
2024-06-25,96.0,96.47,95.68,96.0,378100
2024-06-24,94.63,97.2,94.04,96.61,356800
2024-06-21,92.54,94.19,92.54,94.0,538800
2024-06-20,93.5,94.24,93.5,93.74,270600
2024-06-18,93.29,94.19,92.96,93.55,383600
2024-06-17,91.99,93.6,91.38,93.42,348100
2024-06-14,92.41,92.67,91.42,91.95,271500
2024-06-13,94.1,94.1,92.58,93.27,237700
2024-06-12,94.86,96.59,93.77,94.53,240200
2024-06-11,93.43,95.05,92.79,92.97,313300
2024-06-10,94.27,94.36,92.81,94.04,330000
2024-06-07,94.22,95.77,94.22,95.43,209700
2024-06-06,95.26,96.14,94.25,94.91,279300
2024-06-05,95.2,95.59,94.41,94.92,150900
2024-06-04,95.14,95.81,94.22,94.61,190600
