datetime,open,high,low,close,volume
2025-04-01,12.35,12.35,12.35,12.35,0
2025-03-31,12.4,12.4,12.35,12.35,1500
2025-03-28,12.48,12.48,12.4,12.4,1700
2025-03-27,12.4,12.4,12.4,12.4,300
2025-03-26,12.4,12.4,12.4,12.4,400
2025-03-25,12.53,12.6,12.5,12.5,3500
2025-03-24,12.4,12.45,12.38,12.45,500
2025-03-21,12.4,12.4,12.4,12.4,0
2025-03-20,12.4,12.4,12.4,12.4,0
2025-03-19,12.4,12.4,12.4,12.4,0
2025-03-18,12.55,12.55,12.4,12.4,400
2025-03-17,12.55,12.55,12.4,12.4,700
2025-03-14,12.4,12.4,12.4,12.4,0
2025-03-13,12.4,12.4,12.4,12.4,0
2025-03-12,12.4,12.4,12.4,12.4,0
2025-03-11,12.6,12.6,12.4,12.4,2000
2025-03-10,12.59,12.59,12.59,12.59,77
2025-03-07,12.59,12.59,12.59,12.59,100
2025-03-06,12.65,12.65,12.55,12.58,2400
2025-03-05,12.4,12.4,12.4,12.4,200
2025-03-04,12.4,12.4,12.4,12.4,0
2025-03-03,12.4,12.4,12.4,12.4,100
2025-02-28,12.41,12.41,12.41,12.41,0
2025-02-27,12.42,12.42,12.41,12.41,1000
2025-02-26,12.48,12.65,12.43,12.65,4000
2025-02-25,12.49,12.49,12.49,12.49,0
2025-02-24,12.49,12.49,12.49,12.49,0
2025-02-21,12.51,12.51,12.49,12.49,2700
2025-02-20,12.73,12.73,12.73,12.73,1
2025-02-19,12.73,12.73,12.73,12.73,0
2025-02-18,12.73,12.73,12.73,12.73,0
2025-02-14,12.73,12.73,12.73,12.73,100
2025-02-13,12.8,12.8,12.8,12.8,0
2025-02-12,12.8,12.8,12.8,12.8,0
2025-02-11,12.8,12.8,12.8,12.8,0
2025-02-10,12.8,12.8,12.8,12.8,0
2025-02-07,12.8,12.85,12.79,12.8,1300
2025-02-06,12.67,12.8,12.67,12.8,1200
2025-02-05,12.54,12.54,12.54,12.54,1
2025-02-04,12.54,12.54,12.54,12.54,100
2025-02-03,12.54,12.54,12.54,12.54,500
2025-01-31,12.6,12.6,12.6,12.6,0
2025-01-30,12.49,12.6,12.49,12.6,400
2025-01-29,12.5,12.5,12.5,12.5,0
2025-01-28,12.5,12.5,12.5,12.5,0
2025-01-27,12.5,12.5,12.5,12.5,400
2025-01-24,12.55,12.55,12.55,12.55,1800
2025-01-23,12.55,12.57,12.55,12.55,600
2025-01-22,12.63,12.63,12.63,12.63,100
2025-01-21,12.55,12.55,12.55,12.55,0
2025-01-17,12.75,12.75,12.55,12.55,500
2025-01-16,12.92,12.92,12.92,12.92,0
2025-01-15,12.92,12.92,12.92,12.92,0
2025-01-14,12.92,12.92,12.92,12.92,0
2025-01-13,12.92,12.92,12.92,12.92,300
2025-01-10,12.98,12.98,12.98,12.98,200
2025-01-08,12.6,12.6,12.6,12.6,0
2025-01-07,12.6,12.6,12.6,12.6,0
2025-01-06,12.6,12.6,12.6,12.6,1
2025-01-03,13.05,13.05,12.6,12.6,500
2025-01-02,12.6,13.05,12.6,13.05,1100
2024-12-31,13.03,13.03,13.0,13.0,700
2024-12-30,13.0,13.0,13.0,13.0,100
2024-12-27,12.74,12.74,12.74,12.74,0
2024-12-26,12.74,12.74,12.74,12.74,0
2024-12-24,12.74,12.74,12.74,12.74,0
2024-12-23,12.55,12.76,12.55,12.74,2800
2024-12-22,12.55,12.76,12.55,12.74,2760
2024-12-20,12.54,12.54,12.54,12.54,200
2024-12-19,12.58,12.58,12.58,12.58,185
2024-12-18,12.58,12.58,12.58,12.58,0
2024-12-17,12.51,12.58,12.51,12.58,900
2024-12-16,12.65,12.65,12.51,12.51,1700
2024-12-15,12.65,12.65,12.5125,12.5125,1656
2024-12-13,12.71,12.71,12.68,12.71,1300
2024-12-12,12.7,12.7,12.7,12.7,0
2024-12-11,12.7,12.7,12.69,12.7,1300
2024-12-10,12.65,12.65,12.65,12.65,100
2024-12-09,12.55,12.85,12.51,12.54,6200
2024-12-06,12.9,12.9,12.9,12.9,0
2024-12-05,12.55,12.9,12.5,12.9,2000
2024-12-04,13.5,13.6,12.5,12.8,1800
2024-12-03,13.26,13.26,13.26,13.26,300
2024-12-02,13.24,13.24,13.24,13.24,500
2024-11-29,13.05,13.26,12.9,13.26,1600
2024-11-27,13.1,13.1,13.05,13.05,800
2024-11-26,13.1,13.1,13.1,13.1,0
2024-11-25,13.1,13.1,13.1,13.1,0
2024-11-22,13.1,13.1,13.1,13.1,100
2024-11-21,12.85,12.85,12.85,12.85,0
2024-11-20,12.85,12.85,12.85,12.85,0
2024-11-19,12.85,12.85,12.85,12.85,1
2024-11-18,12.85,12.85,12.85,12.85,0
2024-11-15,12.85,12.85,12.85,12.85,0
2024-11-14,12.85,12.85,12.85,12.85,39
2024-11-13,12.85,12.85,12.85,12.85,0
2024-11-12,12.85,12.85,12.85,12.85,0
2024-11-11,12.85,12.85,12.85,12.85,500
2024-11-08,13.14,13.6,12.67,12.67,2000
2024-11-07,12.75,12.75,12.75,12.75,0
2024-11-06,12.5,12.75,12.5,12.75,1300
2024-11-05,12.4,12.4,12.25,12.4,1200
2024-11-04,12.32,12.32,12.32,12.32,0
2024-11-01,12.32,12.32,12.32,12.32,0
2024-10-31,12.32,12.32,12.32,12.32,0
2024-10-30,12.32,12.32,12.32,12.32,0
2024-10-29,12.32,12.32,12.32,12.32,0
2024-10-28,12.4,12.4,12.32,12.32,500
2024-10-25,12.69,12.95,12.69,12.95,1900
2024-10-24,12.5,12.75,12.46,12.75,1100
2024-10-23,12.5,12.5,12.5,12.5,500
2024-10-22,12.7,12.7,12.41,12.41,1500
2024-10-21,12.7,13.0,12.7,13.0,1800
2024-10-18,12.98,12.98,12.7,12.7,200
2024-10-17,12.98,12.98,12.98,12.98,0
2024-10-16,12.98,12.98,12.98,12.98,400
2024-10-15,12.95,12.95,12.95,12.95,0
2024-10-14,12.95,12.95,12.95,12.95,0
2024-10-11,12.95,12.95,12.95,12.95,0
2024-10-10,12.95,12.95,12.95,12.95,0
2024-10-09,12.95,12.95,12.95,12.95,32
2024-10-08,12.95,12.95,12.95,12.95,0
2024-10-07,12.66,12.98,12.66,12.95,1000
2024-10-04,12.66,12.66,12.66,12.66,0
2024-10-03,12.66,12.66,12.66,12.66,0
2024-10-02,12.66,12.66,12.66,12.66,0
2024-10-01,12.66,12.66,12.66,12.66,0
2024-09-30,12.66,12.66,12.66,12.66,0
2024-09-27,12.66,12.66,12.66,12.66,1000
2024-09-26,13.0,13.0,13.0,13.0,300
2024-09-25,12.74,12.74,12.74,12.74,0
2024-09-24,12.46,12.74,12.46,12.74,1400
2024-09-23,12.46,12.46,12.46,12.46,75
2024-09-20,12.25,12.46,12.25,12.46,1100
2024-09-19,12.01,12.01,12.01,12.01,0
2024-09-18,12.01,12.01,12.01,12.01,500
2024-09-17,12.09,12.09,12.08,12.08,1500
2024-09-16,12.11,12.11,12.07,12.07,3200
2024-09-13,12.09,12.09,12.09,12.09,200
2024-09-12,12.09,12.09,12.09,12.09,0
2024-09-11,12.09,12.09,12.09,12.09,0
2024-09-10,12.09,12.09,12.09,12.09,0
2024-09-09,12.09,12.09,12.09,12.09,0
2024-09-06,12.09,12.09,12.09,12.09,40
2024-09-05,12.09,12.09,12.09,12.09,0
2024-09-04,12.09,12.09,12.09,12.09,0
2024-09-03,12.45,12.47,12.09,12.09,1500
2024-09-02,12.45,12.47,12.09,12.09,1538
2024-08-30,12.25,12.25,12.25,12.25,300
2024-08-29,12.25,12.25,12.25,12.25,305
2024-08-28,12.1,12.2,12.1,12.2,1800
2024-08-27,12.12,12.12,12.11,12.11,1300
2024-08-26,12.12,12.12,12.12,12.12,0
2024-08-23,12.12,12.12,12.12,12.12,300
2024-08-22,12.4,12.4,12.4,12.4,0
2024-08-21,12.4,12.4,12.4,12.4,5
2024-08-20,12.4,12.4,12.4,12.4,0
2024-08-19,12.4,12.4,12.4,12.4,0
2024-08-16,12.4,12.4,12.4,12.4,0
2024-08-15,12.4,12.4,12.4,12.4,0
2024-08-14,12.4,12.4,12.4,12.4,0
2024-08-13,12.4,12.4,12.4,12.4,0
2024-08-12,12.4,12.42,12.4,12.4,13000
2024-08-09,12.11,12.12,12.11,12.12,1500
2024-08-08,12.12,12.12,12.12,12.12,0
2024-08-07,12.12,12.12,12.12,12.12,0
2024-08-06,12.12,12.12,12.12,12.12,2200
2024-08-05,12.12,12.12,12.12,12.12,200
2024-08-02,12.25,12.25,12.25,12.25,0
2024-08-01,12.25,12.25,12.25,12.25,0
2024-07-31,12.25,12.25,12.25,12.25,0
2024-07-30,12.25,12.25,12.25,12.25,300
2024-07-29,12.17,12.17,12.17,12.17,1300
2024-07-26,12.12,12.12,12.12,12.12,1100
2024-07-25,12.12,12.12,12.12,12.12,0
2024-07-24,12.12,12.12,12.12,12.12,0
2024-07-23,12.12,12.12,12.12,12.12,400
2024-07-22,12.16,12.16,12.16,12.16,0
2024-07-19,12.16,12.16,12.16,12.16,0
2024-07-18,12.16,12.16,12.16,12.16,100
2024-07-17,12.13,12.17,12.12,12.17,7500
2024-07-16,12.14,12.14,12.14,12.14,200
2024-07-15,12.13,12.13,12.13,12.13,0
2024-07-12,12.13,12.13,12.13,12.13,0
2024-07-11,12.13,12.13,12.13,12.13,0
2024-07-10,12.13,12.14,12.13,12.13,1700
2024-07-09,12.13,12.13,12.13,12.13,500
2024-07-08,12.2,12.2,12.2,12.2,0
2024-07-05,12.16,12.2,12.16,12.2,2000
2024-07-03,12.16,12.16,12.16,12.16,0
2024-07-02,12.16,12.16,12.16,12.16,0
2024-07-01,12.16,12.16,12.16,12.16,0
2024-06-28,12.16,12.16,12.16,12.16,0
2024-06-27,12.16,12.16,12.16,12.16,0
2024-06-26,12.16,12.16,12.16,12.16,800
2024-06-25,12.16,12.16,12.16,12.16,100
2024-06-24,12.16,12.25,12.16,12.16,2400
2024-06-21,12.16,12.16,12.16,12.16,0
2024-06-20,12.16,12.16,12.16,12.16,0
2024-06-18,12.16,12.16,12.16,12.16,0
2024-06-17,12.16,12.16,12.16,12.16,0
2024-06-14,12.16,12.16,12.16,12.16,0
2024-06-13,12.16,12.16,12.16,12.16,0
2024-06-12,12.16,12.16,12.16,12.16,0
2024-06-11,12.16,12.16,12.16,12.16,200
2024-06-10,12.16,12.16,12.16,12.16,0
2024-06-07,12.16,12.16,12.16,12.16,0
2024-06-06,12.65,12.65,12.16,12.16,1200
2024-06-05,12.7,12.7,12.7,12.7,0
2024-06-04,12.7,12.7,12.7,12.7,0
2024-06-03,12.7,12.7,12.7,12.7,0
2024-05-31,12.7,12.7,12.7,12.7,0
2024-05-30,12.7,12.7,12.7,12.7,0
2024-05-29,12.7,12.7,12.7,12.7,0
2024-05-28,12.7,12.7,12.7,12.7,0
2024-05-24,12.7,12.7,12.7,12.7,0
2024-05-23,12.7,12.7,12.7,12.7,0
2024-05-22,12.7,12.7,12.7,12.7,0
2024-05-21,12.7,12.7,12.7,12.7,400
2024-05-20,12.7,12.7,12.7,12.7,0
2024-05-17,12.61,12.7,12.36,12.7,3400
2024-05-16,12.61,12.61,12.61,12.61,3140
2024-05-15,12.61,12.61,12.61,12.61,1200
2024-05-14,12.76,12.76,12.76,12.76,0
2024-05-13,12.76,12.76,12.76,12.76,0
2024-05-10,12.76,12.76,12.76,12.76,0
2024-05-09,12.76,12.76,12.76,12.76,0
2024-05-08,12.88,12.88,12.76,12.76,800
2024-05-07,12.87,12.88,12.87,12.88,4700
2024-05-06,12.69,12.71,12.69,12.71,2500
2024-05-03,12.69,12.69,12.69,12.69,200
2024-05-02,12.7,12.7,12.7,12.7,2000
2024-05-01,12.88,12.88,12.88,12.88,0
2024-04-30,12.7,12.88,12.7,12.88,6000
2024-04-29,12.88,12.88,12.88,12.88,4400
2024-04-26,12.94,12.94,12.94,12.94,0
2024-04-25,12.94,12.94,12.94,12.94,0
2024-04-24,12.94,12.94,12.94,12.94,0
2024-04-23,12.8,12.94,12.8,12.94,4600
2024-04-22,12.73,12.73,12.73,12.73,0
2024-04-19,12.73,12.73,12.73,12.73,100
2024-04-18,12.72,13.46,12.72,13.46,2200
2024-04-17,12.69,12.73,12.69,12.72,4400
2024-04-16,12.69,12.69,12.68,12.68,3600
2024-04-15,12.52,12.52,12.52,12.52,0
2024-04-12,12.5,12.52,12.5,12.52,400
2024-04-11,12.88,12.88,12.16,12.5,13900
2024-04-10,12.8,12.8,12.8,12.8,0
2024-04-09,12.8,12.8,12.8,12.8,0
2024-04-08,12.8,12.8,12.8,12.8,0
2024-04-05,12.8,12.8,12.8,12.8,700
2024-04-04,13.95,13.95,13.95,13.95,0
2024-04-03,13.95,13.95,13.95,13.95,0
2024-04-02,13.95,13.95,13.95,13.95,200
