datetime,open,high,low,close,volume
2025-04-01,29.27,29.44,28.69,29.14,4859600
2025-03-31,29.36,29.5,28.92,29.28,3993600
2025-03-28,29.5,29.62,29.14,29.36,2568900
2025-03-27,29.5,30.06,29.25,29.59,3197300
2025-03-26,29.31,29.52,29.2,29.42,1637400
2025-03-25,29.53,29.53,28.97,29.2,2736000
2025-03-24,29.06,29.63,29.06,29.56,3092300
2025-03-21,29.97,30.05,28.95,29.18,6488100
2025-03-20,29.87,30.2,29.81,30.11,3010600
2025-03-19,29.76,30.05,29.57,29.91,3033400
2025-03-18,30.04,30.17,29.6,29.86,2931000
2025-03-17,29.49,30.28,29.48,29.96,3217200
2025-03-14,29.2,29.59,28.97,29.47,2103400
2025-03-13,29.23,29.53,28.86,28.95,3046000
2025-03-12,29.5,29.68,29.02,29.27,3960600
2025-03-11,30.26,30.32,29.49,29.58,4127200
2025-03-10,30.45,31.12,30.04,30.07,4753300
2025-03-07,30.1,30.79,30.0,30.65,5394200
2025-03-06,30.78,30.84,30.08,30.22,3997300
2025-03-05,30.65,31.29,30.54,30.93,3884900
2025-03-04,31.4,31.66,30.72,30.79,4294100
2025-03-03,30.23,31.64,30.2,31.39,6490600
2025-02-28,30.32,30.46,29.88,30.1,5766800
2025-02-27,29.69,30.13,29.63,30.06,3217200
2025-02-26,30.19,30.32,29.78,29.83,2097300
2025-02-25,30.15,30.54,30.02,30.2,4446600
2025-02-24,29.75,30.18,29.62,29.98,2669400
2025-02-21,30.1,30.32,29.45,29.71,4549800
2025-02-20,29.3,29.99,29.19,29.97,5923700
2025-02-19,29.54,29.64,29.02,29.2,4486300
2025-02-18,29.49,29.78,29.22,29.73,2892100
2025-02-14,29.94,30.27,29.57,29.61,2638800
2025-02-13,29.71,29.81,29.42,29.7,2324500
2025-02-12,29.47,29.64,29.34,29.59,2066900
2025-02-11,29.9,30.09,29.83,30.0,3662800
2025-02-10,30.26,30.32,29.95,30.12,2590000
2025-02-07,30.38,30.49,30.0,30.05,2037200
2025-02-06,30.62,30.66,30.19,30.43,2109400
2025-02-05,30.5,30.54,30.05,30.34,2721000
2025-02-04,30.57,30.61,30.11,30.14,4699100
2025-02-03,30.75,31.48,30.7,30.75,6646800
2025-01-31,30.58,30.95,30.15,30.62,5594400
2025-01-30,30.93,31.15,30.51,30.96,4169300
2025-01-29,30.67,31.09,30.49,30.54,3771800
2025-01-28,30.56,30.85,30.39,30.77,3276800
2025-01-27,30.32,31.04,30.25,30.85,3613400
2025-01-24,29.9,30.24,29.69,29.99,2300700
2025-01-23,29.75,30.2,29.64,29.94,2434200
2025-01-22,30.24,30.24,29.72,29.76,3195900
2025-01-21,30.4,30.63,29.94,30.42,4468800
2025-01-17,30.12,30.55,30.04,30.2,4302200
2025-01-16,29.55,30.06,29.41,30.03,2706700
2025-01-15,29.92,30.2,29.37,29.56,4748700
2025-01-14,28.9,29.24,28.79,28.96,4151400
2025-01-13,27.4,28.66,27.35,28.66,4299500
2025-01-10,27.4,27.58,27.06,27.29,3529500
2025-01-08,27.86,27.91,27.34,27.68,3939100
2025-01-07,28.51,28.74,27.86,28.01,2588200
2025-01-06,28.34,28.95,28.28,28.5,2886800
2025-01-03,28.04,28.52,27.96,28.36,3331700
2025-01-02,28.2,28.45,27.95,27.99,3446800
2024-12-31,28.16,28.31,27.81,28.15,3125200
2024-12-30,27.97,28.04,27.51,27.89,2914700
2024-12-27,27.93,28.28,27.89,27.99,2320500
2024-12-26,28.05,28.25,27.92,28.17,1736500
2024-12-24,27.8,28.26,27.75,28.26,1780100
2024-12-23,27.6,28.12,27.43,28.08,3546700
2024-12-20,27.27,27.88,27.21,27.5,11435500
2024-12-19,27.75,28.02,27.18,27.21,4919000
2024-12-18,29.31,29.46,27.95,27.96,3942000
2024-12-17,29.26,29.57,29.0,29.38,3853000
2024-12-16,30.11,30.12,29.62,29.65,3076700
2024-12-13,30.31,30.39,29.79,30.06,3176000
2024-12-12,30.78,31.13,30.38,30.4,2848500
2024-12-11,31.09,31.16,30.74,30.89,5665200
2024-12-10,31.68,31.93,30.73,30.92,3349400
2024-12-09,31.41,31.9,31.39,31.74,3266500
2024-12-06,32.03,32.7,31.13,31.29,3395100
2024-12-05,31.12,31.22,30.72,30.96,2066900
2024-12-04,31.54,31.74,30.91,31.24,3308000
2024-12-03,32.02,32.1,31.6,31.72,2492800
2024-12-02,32.06,32.14,31.79,31.97,3190100
2024-11-29,32.54,32.55,32.2,32.26,2107900
2024-11-27,32.17,32.49,32.1,32.35,2785100
2024-11-26,32.09,32.17,31.66,31.91,2365400
2024-11-25,31.58,32.58,31.5,32.23,7706000
2024-11-22,30.8,31.28,30.65,31.24,2514100
2024-11-21,30.62,30.77,30.42,30.6,2763400
2024-11-20,30.63,30.83,30.35,30.67,3593400
2024-11-19,30.81,30.97,30.51,30.68,1639000
2024-11-18,30.82,31.18,30.78,31.02,1918400
2024-11-15,30.87,31.08,30.73,30.93,2916600
2024-11-14,30.66,31.03,30.66,30.86,2965000
2024-11-13,30.98,31.16,30.8,30.89,2429700
2024-11-12,31.11,31.44,30.66,30.68,2898700
2024-11-11,31.78,32.05,31.3,31.35,2581500
2024-11-08,31.7,32.16,31.61,31.89,2669600
2024-11-07,31.52,32.05,31.36,31.74,3639600
2024-11-06,31.95,32.0,31.01,31.42,5312500
2024-11-05,31.54,31.88,31.38,31.87,2459600
2024-11-04,31.28,31.93,31.16,31.71,2496500
2024-11-01,31.43,31.67,31.15,31.18,3007000
2024-10-31,31.62,31.82,31.12,31.16,3988100
2024-10-30,31.01,31.78,30.89,31.72,4218100
2024-10-29,31.56,31.71,30.51,30.88,7199300
2024-10-28,32.05,32.48,31.93,31.95,2884100
2024-10-25,31.97,32.24,31.25,31.8,4276900
2024-10-24,32.0,32.14,31.85,32.13,3803500
2024-10-23,31.64,31.96,31.52,31.85,3412300
2024-10-22,32.11,32.16,31.62,31.65,4820800
2024-10-21,33.01,33.11,32.25,32.29,2221800
2024-10-18,32.85,33.07,32.69,33.06,2538600
2024-10-17,33.15,33.24,32.65,32.8,2378000
2024-10-16,33.23,33.57,33.21,33.45,2331000
2024-10-15,32.85,33.46,32.76,33.05,4210000
2024-10-14,32.87,33.05,32.53,32.59,4762100
2024-10-11,32.77,33.08,32.69,33.03,2270100
2024-10-10,32.91,33.02,32.62,32.63,2597400
2024-10-09,33.11,33.23,32.83,33.06,5245200
2024-10-08,32.83,33.18,32.8,33.11,2675100
2024-10-07,32.61,32.92,32.35,32.85,2913200
2024-10-04,32.77,33.05,32.48,32.88,3276900
2024-10-03,33.44,33.55,32.85,32.93,3995800
2024-10-02,33.44,33.74,33.32,33.62,3259300
2024-10-01,33.81,33.96,33.32,33.7,3394100
2024-09-30,33.58,34.02,33.58,33.86,4767700
2024-09-27,33.35,34.03,33.0,33.75,4729500
2024-09-26,33.25,33.54,32.88,33.16,4791200
2024-09-25,33.72,33.8,32.92,32.97,5299100
2024-09-24,33.42,33.96,33.34,33.78,3528100
2024-09-23,33.43,33.74,33.28,33.55,3323700
2024-09-20,33.66,33.66,33.05,33.24,7981300
2024-09-19,33.57,33.88,33.46,33.59,7283500
2024-09-18,33.33,33.53,32.99,33.1,4266900
2024-09-17,32.93,33.28,32.71,33.25,4597300
2024-09-16,32.61,32.77,32.36,32.51,2615000
2024-09-13,31.7,32.48,31.67,32.45,4077800
2024-09-12,30.84,31.42,30.84,31.41,5749500
2024-09-11,30.44,30.91,30.28,30.86,3741900
2024-09-10,30.31,30.93,30.14,30.89,3241600
2024-09-09,30.29,30.42,30.05,30.27,3779700
2024-09-06,30.18,30.63,30.17,30.35,4983600
2024-09-05,30.37,30.51,30.15,30.17,3838000
2024-09-04,30.25,30.62,30.02,30.15,2879500
2024-09-03,30.22,30.71,30.17,30.28,4106000
2024-08-30,30.49,30.52,30.14,30.49,5278100
2024-08-29,30.68,30.78,30.41,30.49,2943900
2024-08-28,30.9,30.95,30.44,30.64,3662000
2024-08-27,30.85,30.87,30.58,30.6,2956200
2024-08-26,31.55,31.55,31.01,31.08,2709500
2024-08-23,30.4,31.49,30.37,31.36,3294900
2024-08-22,30.4,30.42,30.06,30.26,3398300
2024-08-21,30.19,30.43,29.86,30.41,3161200
2024-08-20,30.18,30.25,29.7,30.11,3717400
2024-08-19,29.93,30.19,29.85,30.18,3152500
2024-08-16,29.99,30.12,29.69,29.91,2752800
2024-08-15,30.16,30.39,30.0,30.09,4131200
2024-08-14,30.39,30.41,30.0,30.02,5567600
2024-08-13,30.32,30.49,30.2,30.33,3575900
2024-08-12,30.53,30.56,30.07,30.14,3044200
2024-08-09,31.09,31.24,30.66,30.68,3567500
2024-08-08,31.21,31.33,30.99,31.1,2996800
2024-08-07,31.78,32.15,31.11,31.15,3832000
2024-08-06,31.07,31.98,30.88,31.64,5310800
2024-08-05,31.29,31.81,30.75,31.13,6329800
2024-08-02,31.89,32.05,31.43,31.74,4942200
2024-08-01,31.89,32.13,31.55,31.92,4652700
2024-07-31,31.64,32.18,31.47,31.76,4226700
2024-07-30,31.29,31.97,31.29,31.76,3901300
2024-07-29,31.3,31.68,31.05,31.27,3382200
2024-07-26,30.92,31.71,30.1,31.6,4898500
2024-07-25,29.99,30.72,29.81,30.31,3323200
2024-07-24,30.31,30.38,29.81,29.87,3191600
2024-07-23,30.41,30.49,30.11,30.26,2759600
2024-07-22,30.19,30.65,29.87,30.6,3723000
2024-07-19,30.48,30.58,29.87,30.14,2965100
2024-07-18,30.25,30.95,30.15,30.31,3436800
2024-07-17,29.76,30.55,29.76,30.49,3253100
2024-07-16,29.18,29.8,29.04,29.73,2884900
2024-07-15,29.33,29.37,28.94,29.04,3685500
2024-07-12,29.21,29.42,28.77,29.28,5489200
2024-07-11,28.04,29.12,27.92,28.96,6855900
2024-07-10,27.48,27.65,27.1,27.58,3776300
2024-07-09,27.52,27.66,27.39,27.57,3734500
