datetime,open,high,low,close,volume
2025-04-01,25.46,25.47,25.453,25.47,4400
2025-03-31,25.4,25.4,25.381,25.39,4100
2025-03-28,25.455,25.455,25.41,25.428,1300
2025-03-27,25.39,25.46,25.39,25.452,1600
2025-03-26,25.391,25.425,25.39,25.425,800
2025-03-25,25.42,25.46,25.42,25.428,2000
2025-03-24,25.45,25.45,25.42,25.446,4600
2025-03-21,25.469,25.47,25.419,25.454,3700
2025-03-20,25.45,25.47,25.45,25.47,800
2025-03-19,25.32,25.33,25.27,25.27,2400
2025-03-18,25.338,25.338,25.315,25.317,1600
2025-03-17,25.31,25.41,25.31,25.41,1100
2025-03-14,25.44,25.44,25.41,25.41,700
2025-03-13,25.38,25.417,25.38,25.417,1500
2025-03-12,25.39,25.412,25.345,25.412,1000
2025-03-11,25.4,25.424,25.4,25.424,2300
2025-03-10,25.408,25.46,25.408,25.46,1300
2025-03-07,25.435,25.435,25.435,25.435,500
2025-03-06,25.459,25.459,25.435,25.435,600
2025-03-05,25.47,25.47,25.47,25.47,300
2025-03-04,25.462,25.462,25.4,25.4,6200
2025-03-03,25.4,25.4,25.4,25.4,700
2025-02-28,25.35,25.35,25.33,25.34,3900
2025-02-27,25.39,25.4,25.39,25.4,3500
2025-02-26,25.369,25.369,25.369,25.369,400
2025-02-25,25.33,25.364,25.33,25.33,800
2025-02-24,25.35,25.35,25.35,25.35,500
2025-02-21,25.33,25.39,25.33,25.39,800
2025-02-20,25.35,25.41,25.35,25.41,1000
2025-02-19,25.35,25.41,25.35,25.41,800
2025-02-18,25.46,25.46,25.42,25.42,700
2025-02-14,25.406,25.46,25.406,25.46,1200
2025-02-13,25.36,25.365,25.36,25.365,400
2025-02-12,25.4,25.4,25.4,25.4,0
2025-02-11,25.4,25.4,25.4,25.4,0
2025-02-10,25.39,25.4,25.35,25.4,2300
2025-02-07,25.4,25.4,25.366,25.4,2000
2025-02-06,25.312,25.4,25.312,25.4,1400
2025-02-05,25.335,25.335,25.3,25.3,800
2025-02-04,25.369,25.369,25.26,25.3,1400
2025-02-03,25.38,25.386,25.36,25.36,1300
2025-01-31,25.34,25.4,25.34,25.35,2100
2025-01-30,25.35,25.35,25.33,25.35,1300
2025-01-29,25.35,25.35,25.32,25.35,500
2025-01-28,25.36,25.36,25.322,25.322,800
2025-01-27,25.403,25.403,25.403,25.403,900
