datetime,open,high,low,close,volume
2025-04-01,0.0185,0.0185,0.013,0.013,5359
2025-03-31,0.0168,0.0168,0.0093,0.0093,2550
2025-03-28,0.0098,0.01,0.0093,0.0096,28240
2025-03-27,0.01,0.01,0.01,0.01,8146
2025-03-26,0.0169,0.0169,0.0098,0.0109,28072
2025-03-25,0.013,0.0169,0.013,0.0169,300
2025-03-24,0.013,0.013,0.013,0.013,100
2025-03-21,0.014,0.014,0.0093,0.0139,33502
2025-03-20,0.015,0.015,0.015,0.015,10245
2025-03-19,0.0149,0.0149,0.014,0.014,13459
2025-03-17,0.01,0.0103,0.01,0.0103,8900
2025-03-14,0.0125,0.0149,0.0122,0.0122,6035
2025-03-13,0.01,0.0116,0.0096,0.0114,17023
2025-03-12,0.0099,0.0099,0.0088,0.0095,50817
2025-03-11,0.0102,0.0102,0.0073,0.0074,53623
2025-03-10,0.0101,0.011,0.0101,0.0101,31369
2025-03-07,0.014,0.014,0.0112,0.0113,13952
2025-03-06,0.0148,0.0148,0.01,0.0144,44456
2025-03-05,0.0102,0.0145,0.0102,0.0144,93897
2025-03-04,0.0147,0.0149,0.0102,0.0115,39210
2025-03-03,0.0112,0.0113,0.01,0.0102,76292
2025-02-28,0.015,0.0151,0.0127,0.0131,63466
2025-02-27,0.0189,0.0209,0.015,0.0151,64863
2025-02-26,0.016,0.0214,0.015,0.0209,45765
2025-02-25,0.0215,0.0215,0.0151,0.0183,16565
2025-02-24,0.017,0.017,0.015,0.0155,97952
2025-02-21,0.02,0.028,0.015,0.0174,862517
2025-02-20,0.012,0.0351,0.0119,0.02,2095476
2025-02-19,0.01,0.01,0.0091,0.0091,8993
2025-02-18,0.0091,0.01,0.009,0.009,35614
2025-02-14,0.009,0.0091,0.009,0.009,12424
2025-02-13,0.009,0.009,0.009,0.009,163
2025-02-12,0.009,0.009,0.009,0.009,4900
2025-02-11,0.011,0.0115,0.009,0.009,88060
2025-02-10,0.011,0.0111,0.009,0.009,25450
2025-02-07,0.011,0.011,0.009,0.009,71180
2025-02-06,0.0101,0.011,0.01,0.01,2455
2025-02-05,0.009,0.01,0.009,0.01,4803
2025-02-04,0.0119,0.012,0.0077,0.0095,62617
2025-02-03,0.01,0.01,0.0091,0.0091,6000
2025-01-31,0.0073,0.01,0.0073,0.01,22940
2025-01-29,0.0082,0.01,0.0082,0.01,1995
2025-01-28,0.0072,0.0082,0.0072,0.0082,3200
2025-01-27,0.01,0.01,0.0073,0.0074,4000
2025-01-24,0.0088,0.01,0.0088,0.00955,42571
2025-01-23,0.009,0.009,0.009,0.009,120
2025-01-22,0.0092,0.0099,0.0088,0.0092,87041
2025-01-21,0.0101,0.0109,0.0088,0.01,80976
2025-01-17,0.01,0.0118,0.01,0.0118,15940
2025-01-16,0.0088,0.0113,0.0088,0.0094,46154
2025-01-15,0.0085,0.009,0.0082,0.0085,52229
2025-01-14,0.0095,0.0095,0.0083,0.0084,7464
2025-01-13,0.0107,0.0107,0.0082,0.0083,51935
2025-01-10,0.0115,0.0115,0.01,0.0101,94497
2025-01-08,0.0091,0.0128,0.008,0.0128,16469
2025-01-07,0.0101,0.0119,0.0072,0.0091,199665
2025-01-06,0.0134,0.0134,0.01,0.0123,251066
2025-01-03,0.0066,0.0152,0.0066,0.01,519822
2025-01-02,0.0051,0.0069,0.0051,0.0056,93182
2024-12-31,0.0047,0.0069,0.0047,0.0063,38519
2024-12-30,0.006,0.007,0.0045,0.007,497085
2024-12-27,0.006,0.006,0.0045,0.006,20264
2024-12-26,0.0043,0.006,0.0043,0.005,265756
2024-12-24,0.0055,0.0055,0.0045,0.0045,13350
2024-12-23,0.0054,0.0054,0.0046,0.0046,1700
2024-12-20,0.0045,0.0072,0.0045,0.0056,28450
2024-12-19,0.0056,0.0056,0.0045,0.0045,21600
2024-12-18,0.0056,0.0056,0.0056,0.0056,500
2024-12-17,0.0072,0.0072,0.0044,0.0045,63300
2024-12-16,0.0052,0.0052,0.0051,0.0051,1065
2024-12-13,0.0051,0.0051,0.0046,0.0046,950
2024-12-12,0.0051,0.0052,0.0046,0.0052,3100
2024-12-11,0.0056,0.0056,0.0043,0.0056,113119
2024-12-10,0.0056,0.0056,0.0044,0.0051,47100
2024-12-09,0.005,0.0056,0.0042,0.0056,49155
2024-12-06,0.0045,0.0059,0.0042,0.0056,53126
2024-12-05,0.0038,0.0097,0.0037,0.0046,339200
2024-12-04,0.0044,0.0056,0.0035,0.0037,1291982
2024-12-03,0.0046,0.0056,0.0042,0.0056,164074
2024-12-02,0.005,0.0054,0.0041,0.0046,442407
2024-11-29,0.005,0.007,0.0041,0.0042,726071
2024-11-27,0.0055,0.0071,0.0042,0.0058,561362
2024-11-26,0.0071,0.0076,0.005,0.005,734757
2024-11-25,0.0082,0.0085,0.0061,0.0061,135375
2024-11-22,0.0085,0.0095,0.0075,0.0083,724405
2024-11-21,0.008,0.01,0.0075,0.01,395244
2024-11-20,0.01,0.01,0.0075,0.0076,212760
2024-11-19,0.0083,0.0099,0.0083,0.009,251722
2024-11-18,0.0085,0.0161,0.0082,0.0091,281390
2024-11-15,0.009,0.0149,0.0075,0.01,175814
2024-11-14,0.0155,0.0216,0.0074,0.0091,1067329
2024-11-13,0.022,0.022,0.0163,0.0209,58629
2024-11-12,0.0217,0.022,0.0217,0.022,24624
2024-11-11,0.0188,0.022,0.0173,0.0217,15366
2024-11-08,0.02,0.022,0.0186,0.0194,12429
2024-11-07,0.0229,0.0229,0.0162,0.0165,13595
2024-11-06,0.0175,0.0225,0.0173,0.0212,22475
2024-11-05,0.0173,0.02235,0.0173,0.02235,620
2024-11-04,0.0175,0.0227,0.0175,0.0226,6905
2024-11-01,0.02,0.0229,0.017,0.0228,50334
2024-10-30,0.0227,0.0227,0.0226,0.0226,50
2024-10-29,0.0227,0.0229,0.0227,0.0228,900
2024-10-28,0.0243,0.0243,0.02,0.02,2622
2024-10-25,0.02075,0.0248,0.0165,0.021,156094
2024-10-24,0.021,0.0211,0.0152,0.0175,44908
2024-10-22,0.025,0.025,0.0205,0.0205,205375
2024-10-21,0.0203,0.025,0.0203,0.025,5627
2024-10-18,0.0256,0.0275,0.0201,0.025,258529
2024-10-17,0.0275,0.0275,0.0228,0.0228,4418
2024-10-16,0.0237,0.0275,0.0227,0.0227,7694
2024-10-15,0.0252,0.0275,0.0226,0.0275,2426
2024-10-14,0.0275,0.0275,0.0226,0.0275,7979
2024-10-11,0.0226,0.03,0.0226,0.03,11300
2024-10-09,0.0255,0.03,0.0255,0.03,35
2024-10-08,0.027,0.029,0.0225,0.02598,4741
2024-10-07,0.029,0.029,0.028,0.029,14279
2024-10-04,0.0266,0.029,0.025,0.029,27548
2024-10-03,0.029,0.029,0.024,0.029,8600
2024-10-02,0.025,0.029,0.0249,0.028,36637
2024-10-01,0.025,0.0289,0.025,0.0289,2450
2024-09-27,0.0288,0.0288,0.0286,0.0288,8253
2024-09-26,0.025,0.029,0.022,0.029,7351
2024-09-25,0.022,0.0299,0.022,0.0299,21067
2024-09-16,0.0221,0.0221,0.022,0.022,10
2024-09-12,0.0222,0.0222,0.0202,0.0202,3822
2024-09-11,0.0289,0.0289,0.022,0.0286,8345
2024-09-10,0.0221,0.0221,0.022,0.022,600
2024-09-06,0.022,0.0289,0.022,0.0289,43397
2024-09-05,0.0201,0.0287,0.0201,0.0286,22240
2024-09-04,0.0255,0.029,0.0255,0.0289,12279
2024-09-03,0.0295,0.0295,0.0221,0.0221,4942
2024-08-30,0.0258,0.0295,0.0258,0.0295,1805
2024-08-27,0.03,0.03,0.0299,0.0299,6017
2024-08-23,0.03,0.03,0.03,0.03,5
2024-08-22,0.0268,0.03,0.0268,0.03,2195
2024-08-21,0.027,0.03,0.0225,0.03,27100
2024-08-20,0.03,0.03,0.0242,0.03,18741
2024-08-16,0.0283,0.0283,0.0271,0.0271,10478
2024-08-15,0.028,0.03,0.0241,0.0287,21018
2024-08-14,0.0299,0.03,0.0281,0.0299,900
2024-08-13,0.03,0.03,0.0287,0.03,1800
2024-08-12,0.0252,0.0343,0.0252,0.0343,1700
2024-08-09,0.0308,0.0347,0.0308,0.0347,2508
2024-08-07,0.0263,0.035,0.0263,0.035,1500
2024-08-06,0.026,0.035,0.026,0.035,4550
2024-08-01,0.0232,0.036,0.0232,0.036,50
2024-07-31,0.0359,0.036,0.0359,0.036,14950
2024-07-29,0.0312,0.036,0.0312,0.036,10795
2024-07-26,0.0358,0.036,0.0335,0.0354,7947
2024-07-25,0.0282,0.036,0.0266,0.036,16018
2024-07-24,0.028,0.033,0.028,0.0329,1932
2024-07-23,0.0265,0.033,0.0261,0.0329,77677
2024-07-22,0.03,0.03,0.0249,0.03,2410
2024-07-19,0.0243,0.03,0.0243,0.0281,1600
2024-07-18,0.03,0.03,0.03,0.03,1000
2024-07-17,0.0241,0.03,0.0241,0.03,1132
2024-07-16,0.03,0.03,0.03,0.03,2070
2024-07-15,0.031,0.031,0.031,0.031,100
2024-07-12,0.028,0.031,0.0234,0.031,4813
2024-07-11,0.0233,0.031,0.0233,0.031,15449
2024-07-10,0.0292,0.031,0.0275,0.0294,10671
2024-07-09,0.0233,0.031,0.0231,0.031,36010
2024-07-08,0.0232,0.033,0.0232,0.033,6300
2024-07-05,0.0227,0.033,0.0227,0.033,16547
2024-07-03,0.028,0.033,0.0274,0.033,14513
2024-07-02,0.033,0.033,0.033,0.033,1800
2024-07-01,0.0278,0.0314,0.0223,0.0313,13709
2024-06-27,0.023,0.0231,0.023,0.0231,31336
2024-06-26,0.0231,0.0232,0.023,0.0231,9200
2024-06-25,0.023,0.0231,0.023,0.0231,3778
2024-06-24,0.023,0.0254,0.023,0.0254,1000
2024-06-21,0.0225,0.0285,0.022,0.023,236550
2024-06-20,0.034,0.034,0.029,0.029,7427
2024-06-18,0.034,0.034,0.0269,0.0281,24789
2024-06-17,0.036,0.036,0.023,0.035,11674
2024-06-14,0.029,0.036,0.029,0.035,17777
2024-06-13,0.0336,0.039,0.023,0.0296,112000
2024-06-12,0.0337,0.0357,0.0336,0.0356,1565
2024-06-11,0.0316,0.0358,0.0316,0.0357,1993
2024-06-10,0.039,0.039,0.0316,0.0359,5380
2024-06-07,0.039,0.039,0.0326,0.0355,4937
2024-06-06,0.0339,0.0339,0.0335,0.0336,11682
2024-06-05,0.0376,0.0377,0.0346,0.0377,15528
2024-06-04,0.0366,0.0379,0.0366,0.0377,27859
2024-06-03,0.0314,0.039,0.0314,0.0366,17967
