datetime,open,high,low,close,volume
2025-04-01,7.66,7.77,7.585,7.75,207000
2025-03-31,7.71,7.8,7.62,7.72,275300
2025-03-28,8.16,8.175,7.73,7.84,239300
2025-03-27,8.08,8.24,8.031,8.21,424800
2025-03-26,8.17,8.22,8.0,8.08,223600
2025-03-25,8.07,8.32,8.07,8.19,315800
2025-03-24,8.12,8.19,8.03,8.06,220700
2025-03-21,7.93,8.08,7.9,7.99,586500
2025-03-20,8.01,8.13,7.93,8.03,202500
2025-03-19,7.84,8.09,7.84,8.07,233800
2025-03-18,7.98,8.0,7.77,7.83,216000
2025-03-17,7.91,8.08,7.845,8.0,390200
2025-03-14,7.86,8.01,7.8,7.9,257500
2025-03-13,8.0,8.03,7.62,7.77,551500
2025-03-12,7.68,8.09,7.66,8.04,500500
2025-03-11,7.71,7.73,7.54,7.64,356900
2025-03-10,7.68,7.788,7.54,7.67,389300
2025-03-07,7.97,8.105,7.82,7.86,324300
2025-03-06,8.18,8.27,7.81,8.0,374000
2025-03-05,8.09,8.305,8.04,8.25,337900
2025-03-04,7.55,8.21,7.362,8.11,525100
2025-03-03,8.48,8.52,8.03,8.1,459500
2025-02-28,8.31,8.46,8.19,8.46,516700
2025-02-27,8.5,8.96,8.165,8.29,674300
2025-02-26,8.62,8.84,8.52,8.56,436100
2025-02-25,8.74,8.825,8.54,8.63,415000
2025-02-24,8.9,8.9,8.56,8.64,443400
2025-02-21,9.08,9.25,8.85,8.85,296500
2025-02-20,8.93,9.0,8.825,8.95,391000
2025-02-19,8.94,9.035,8.875,8.94,452200
2025-02-18,9.23,9.23,8.9,8.92,455400
2025-02-14,9.2,9.34,9.04,9.18,267700
2025-02-13,9.2,9.2,9.0,9.15,267500
2025-02-12,9.08,9.21,9.08,9.13,177600
2025-02-11,9.43,9.43,9.08,9.2,368700
2025-02-10,9.29,9.59,9.186,9.45,234500
2025-02-07,9.29,9.325,9.1,9.21,163900
2025-02-06,9.41,9.42,9.24,9.25,185800
2025-02-05,9.16,9.34,9.06,9.33,154800
2025-02-04,8.93,9.14,8.91,9.12,134900
2025-02-03,8.8,9.14,8.73,8.98,222700
2025-01-31,9.14,9.17,8.86,9.02,446200
2025-01-30,9.09,9.22,8.96,9.13,236600
2025-01-29,9.04,9.2,9.01,9.04,248200
2025-01-28,8.83,9.1,8.69,9.02,385000
2025-01-27,8.93,9.05,8.8,8.86,322200
2025-01-24,9.07,9.13,8.905,8.95,236700
2025-01-23,8.93,9.12,8.83,9.1,194000
2025-01-22,9.15,9.15,8.96,9.02,301800
2025-01-21,9.14,9.3,9.07,9.12,278000
2025-01-17,9.17,9.17,8.91,9.01,262700
2025-01-16,9.01,9.14,8.95,9.03,270200
2025-01-15,9.14,9.22,8.995,9.03,217700
2025-01-14,9.1,9.2,8.83,8.92,344100
2025-01-13,8.98,9.125,8.82,9.1,343200
2025-01-10,9.74,9.77,9.19,9.19,313500
2025-01-08,10.2,10.2,9.86,9.93,252500
2025-01-07,10.56,10.62,10.25,10.29,287700
2025-01-06,10.34,10.61,10.34,10.55,365800
2025-01-03,10.45,10.53,10.14,10.34,400800
2025-01-02,10.31,10.47,10.155,10.45,495800
2024-12-31,10.15,10.319,10.11,10.27,312400
2024-12-30,9.98,10.17,9.9,10.07,193800
2024-12-27,10.28,10.37,10.03,10.13,201900
2024-12-26,10.24,10.42,10.2,10.35,205000
2024-12-24,10.21,10.35,10.15,10.29,124500
2024-12-23,10.14,10.28,10.1,10.21,368800
2024-12-20,9.98,10.29,9.85,10.19,616300
2024-12-19,10.34,10.46,10.146,10.2,312700
2024-12-18,10.62,10.77,10.145,10.18,475400
2024-12-17,10.76,10.9,10.425,10.56,424400
2024-12-16,10.72,11.075,10.61,10.77,522100
2024-12-13,10.46,10.87,10.46,10.72,702800
2024-12-12,10.02,10.54,9.961,10.43,487600
2024-12-11,9.97,10.225,9.89,10.07,576000
2024-12-10,9.8,10.08,9.76,9.91,541100
2024-12-09,9.65,9.85,9.6,9.8,657900
2024-12-06,9.38,9.66,9.34,9.65,454100
2024-12-05,9.65,9.68,9.36,9.36,423500
2024-12-04,9.29,9.67,9.27,9.65,583700
2024-12-03,9.24,9.28,9.07,9.27,416600
2024-12-02,9.13,9.4,9.0,9.3,802300
2024-11-29,9.82,9.88,9.45,9.47,355200
2024-11-27,9.36,9.97,9.355,9.72,780000
