datetime,open,high,low,close,volume
2025-04-01,1.1,1.17,1.01,1.04,524200
2025-03-31,1.23,1.23,1.06,1.09,531700
2025-03-28,1.32,1.34,1.2,1.23,1821000
2025-03-27,2.48,2.53,2.365,2.46,274900
2025-03-26,2.61,2.61,2.45,2.55,120500
2025-03-25,2.64,2.85,2.43,2.61,278400
2025-03-24,2.55,2.55,2.4,2.52,140300
2025-03-21,2.57,2.62,2.36,2.38,301200
2025-03-20,2.49,2.9,2.472,2.62,395800
2025-03-19,2.5,2.618,2.3,2.54,396700
2025-03-18,2.95,2.95,2.53,2.55,1280200
2025-03-17,2.83,2.9,2.68,2.68,141600
2025-03-14,2.83,2.91,2.8,2.85,88700
2025-03-13,2.82,2.95,2.73,2.83,81500
2025-03-12,2.79,2.84,2.67,2.76,69200
2025-03-11,2.78,2.88,2.61,2.76,135400
2025-03-10,2.98,3.079,2.651,2.77,203100
2025-03-07,2.76,3.15,2.76,3.08,326100
2025-03-06,3.0,3.389,2.68,2.81,566400
2025-03-05,2.47,3.14,2.46,2.92,538300
2025-03-04,2.59,2.6,2.4,2.48,219900
2025-03-03,2.87,3.045,2.59,2.62,292000
2025-02-28,2.96,3.025,2.8,2.87,123100
2025-02-27,3.26,3.37,2.91,2.98,129200
2025-02-26,3.33,3.39,3.22,3.26,81100
2025-02-25,3.35,3.42,3.11,3.34,135900
2025-02-24,3.65,3.65,3.35,3.42,182400
2025-02-21,3.83,3.83,3.65,3.65,126400
2025-02-20,3.84,3.89,3.6,3.77,355700
2025-02-19,4.01,4.062,3.86,3.89,127300
2025-02-18,3.94,4.08,3.94,4.0,101500
2025-02-14,4.08,4.2,3.867,3.94,205500
2025-02-13,4.12,4.25,4.05,4.1,121300
2025-02-12,3.95,4.21,3.694,4.21,729200
2025-02-11,4.31,4.33,4.1,4.17,160300
2025-02-10,4.46,4.49,4.12,4.39,236000
2025-02-07,4.53,4.669,4.25,4.38,204500
2025-02-06,4.56,4.67,4.45,4.53,150300
2025-02-05,4.6,4.69,4.45,4.58,177500
2025-02-04,4.71,5.05,4.68,4.68,179900
2025-02-03,5.06,5.06,4.51,4.73,329500
2025-01-31,4.91,5.48,4.89,5.07,475100
2025-01-30,4.58,4.899,4.56,4.76,158900
2025-01-29,4.81,4.854,4.55,4.59,148400
2025-01-28,4.87,4.994,4.56,4.79,216400
2025-01-27,4.74,5.35,4.74,5.01,385300
2025-01-24,4.57,5.25,4.54,4.89,622100
2025-01-23,4.84,4.94,4.29,4.54,648300
2025-01-22,5.59,5.59,5.0,5.0,673400
2025-01-21,6.05,6.06,5.3,5.58,1150700
2025-01-17,6.08,6.6,5.85,5.98,723800
2025-01-16,5.76,6.86,5.51,6.39,1324100
2025-01-15,5.61,5.948,5.36,5.66,1033200
2025-01-14,6.36,6.59,5.85,6.04,929800
2025-01-13,7.2,7.64,5.81,6.87,1644800
2025-01-10,8.0,8.301,3.85,7.31,6229700
2025-01-08,15.0,15.25,12.0,12.75,2452929
2025-01-07,52.5,60.0,25.0,28.5,10672918
2025-01-06,10.25,22.0,10.0,22.0,6232876
2025-01-03,10.25,10.5,10.25,10.25,402247
2025-01-02,11.0,11.0,10.0,10.5,877587
2024-12-31,12.0,12.25,10.0,10.75,1785242
2024-12-30,10.75,11.0,9.75,10.0,1170668
2024-12-27,11.0,11.5,9.75,10.0,1072001
