datetime,open,high,low,close,volume
2025-04-01,1.2,1.26,1.2,1.24,4800
2025-03-31,1.21,1.28,1.21,1.28,3900
2025-03-28,1.27,1.28,1.24,1.24,3600
2025-03-27,1.31,1.33,1.2,1.31,8200
2025-03-26,1.339,1.339,1.3,1.3,2300
2025-03-25,1.23,1.33,1.23,1.27,5000
2025-03-24,1.33,1.33,1.33,1.33,800
2025-03-21,1.24,1.28,1.22,1.28,800
2025-03-20,1.2,1.29,1.2,1.29,900
2025-03-19,1.214,1.214,1.2,1.2,1600
2025-03-18,1.27,1.27,1.25,1.259,4300
2025-03-17,1.2,1.38,1.2,1.2,9000
2025-03-14,1.2,1.31,1.2,1.201,11100
2025-03-13,1.26,1.26,1.2,1.2,1300
2025-03-12,1.24,1.245,1.24,1.245,1300
2025-03-11,1.31,1.39,1.21,1.31,3800
2025-03-10,1.34,1.53,1.219,1.29,6100
2025-03-07,1.31,1.31,1.2,1.2,4600
2025-03-06,1.33,1.338,1.3,1.3,500
2025-03-05,1.28,1.28,1.28,1.28,0
2025-03-04,1.21,1.28,1.2,1.28,4200
2025-03-03,1.22,1.22,1.22,1.22,10
2025-02-28,1.31,1.31,1.22,1.22,900
2025-02-27,1.28,1.28,1.23,1.23,1700
2025-02-26,1.305,1.329,1.23,1.23,3300
2025-02-25,1.36,1.59,1.2,1.22,41400
2025-02-24,1.36,1.36,1.36,1.36,1700
2025-02-21,1.4,1.44,1.389,1.39,10000
2025-02-20,1.5,1.5,1.38,1.44,700
2025-02-19,1.37,1.45,1.367,1.39,4800
2025-02-18,1.36,1.36,1.36,1.36,100
2025-02-14,1.394,1.394,1.37,1.39,1000
2025-02-13,1.448,1.448,1.448,1.448,300
2025-02-12,1.435,1.435,1.39,1.39,500
2025-02-11,1.38,1.45,1.38,1.45,1800
2025-02-10,1.45,1.45,1.4,1.4,1400
2025-02-07,1.373,1.45,1.357,1.45,5000
2025-02-06,1.455,1.455,1.455,1.455,0
2025-02-05,1.455,1.455,1.455,1.455,700
2025-02-04,1.415,1.5,1.415,1.5,2000
2025-02-03,1.39,1.51,1.34,1.51,4400
2025-01-31,1.41,1.5,1.4,1.4,6300
2025-01-30,1.546,1.546,1.401,1.401,3900
2025-01-29,1.402,1.49,1.38,1.38,3000
2025-01-28,1.39,1.46,1.37,1.39,8800
2025-01-27,1.49,1.49,1.42,1.42,2600
2025-01-24,1.41,1.63,1.41,1.41,3800
2025-01-23,1.525,1.525,1.403,1.403,6500
2025-01-22,1.48,1.48,1.36,1.36,11100
2025-01-21,1.48,1.62,1.41,1.47,5900
2025-01-17,1.52,1.55,1.42,1.48,6900
2025-01-16,1.31,1.61,1.31,1.41,16200
2025-01-15,1.7,1.7,1.33,1.42,30100
2025-01-14,1.68,1.798,1.68,1.798,900
2025-01-13,1.76,1.76,1.71,1.75,1800
2025-01-10,1.84,1.86,1.79,1.79,1700
2025-01-08,1.94,1.95,1.81,1.86,5600
2025-01-07,1.74,2.28,1.74,1.95,39800
2025-01-06,1.66,1.9,1.66,1.84,39200
2025-01-03,1.71,1.73,1.71,1.73,1500
2025-01-02,1.7,1.7,1.7,1.7,700
2024-12-31,1.69,1.741,1.532,1.62,5200
2024-12-30,1.64,1.84,1.615,1.69,9500
2024-12-27,1.6,1.68,1.6,1.65,22800
2024-12-26,1.51,1.7,1.51,1.69,13100
2024-12-24,1.71,1.82,1.59,1.61,14800
2024-12-23,1.905,1.905,1.81,1.85,2100
2024-12-20,1.778,1.96,1.755,1.81,3200
2024-12-19,1.91,1.96,1.89,1.942,5300
2024-12-18,2.019,2.019,2.019,2.019,624
2024-12-17,1.954,2.019,1.88,2.019,6600
2024-12-16,2.01,2.145,1.911,2.06,6400
2024-12-13,2.11,2.19,1.983,2.037,13000
2024-12-12,2.25,2.36,2.06,2.278,11100
2024-12-11,2.44,2.5,2.02,2.42,70100
2024-12-10,2.06,2.5,1.728,2.5,64100
2024-12-09,1.54,2.1,1.54,2.065,46900
2024-12-08,1.54,2.1,1.54,2.065,46910
2024-12-06,1.37,1.66,1.28,1.66,56800
2024-12-05,1.36,1.43,1.344,1.43,14600
2024-12-04,1.36,1.43,1.3443,1.43,14631
2024-12-03,1.32,1.469,1.26,1.28,19200
2024-12-02,1.26,1.399,1.23,1.34,29100
2024-11-29,1.32,1.395,1.231,1.34,13700
2024-11-27,1.35,1.35,1.21,1.296,16700
2024-11-26,1.07,1.36,1.07,1.25,78500
2024-11-25,1.03,1.18,1.03,1.15,24200
2024-11-22,1.06,1.07,1.03,1.06,5500
2024-11-21,1.13,1.16,1.05,1.06,10700
2024-11-20,1.13,1.13,1.11,1.13,3700
2024-11-19,1.11,1.11,1.06,1.11,5200
2024-11-18,1.16,1.16,1.06,1.12,11400
2024-11-15,1.253,1.255,1.2,1.2,7500
2024-11-14,1.255,1.28,1.22,1.25,2900
2024-11-13,1.22,1.27,1.21,1.21,8700
2024-11-12,1.17,1.28,1.17,1.2,12200
2024-11-11,1.2,1.25,1.2,1.2,5300
2024-11-08,1.23,1.29,1.21,1.21,9900
2024-11-07,1.23,1.28,1.223,1.28,3500
2024-11-06,1.3,1.33,1.23,1.23,20500
2024-11-05,1.29,1.32,1.26,1.3,10400
2024-11-04,1.26,1.27,1.25,1.26,4900
2024-11-01,1.31,1.336,1.24,1.29,17800
2024-10-31,1.41,1.42,1.3,1.33,10300
2024-10-30,1.37,1.46,1.3,1.35,17200
2024-10-29,1.43,1.65,1.35,1.36,56900
2024-10-28,1.45,1.46,1.34,1.43,47400
2024-10-25,1.35,1.46,1.35,1.39,8600
