datetime,open,high,low,close,volume
2025-04-01,10.71,10.74,10.451,10.56,110700
2025-03-31,10.77,10.905,10.65,10.8,104800
2025-03-28,11.47,11.78,10.745,10.91,142200
2025-03-27,11.55,11.6,11.24,11.51,108600
2025-03-26,11.69,12.065,11.074,11.2,89400
2025-03-25,11.68,11.97,11.414,11.73,147800
2025-03-24,11.77,11.908,11.32,11.49,110600
2025-03-21,11.5,11.68,11.345,11.66,318500
2025-03-20,11.77,11.87,11.54,11.6,87500
2025-03-19,12.04,12.12,11.695,11.89,172600
2025-03-18,12.12,12.335,12.0,12.02,92500
2025-03-17,12.1,12.475,12.1,12.21,104100
2025-03-14,12.1,12.22,11.75,12.04,163600
2025-03-13,11.74,12.02,11.62,11.98,240100
2025-03-12,12.56,12.86,12.28,12.65,218300
2025-03-11,12.05,12.55,11.85,12.52,202100
2025-03-10,12.42,12.48,11.91,12.0,234600
2025-03-07,12.83,13.11,12.44,12.55,293100
2025-03-06,13.26,13.375,12.51,12.8,128400
2025-03-05,13.45,13.7,13.15,13.35,100800
2025-03-04,13.33,13.58,13.21,13.45,119900
2025-03-03,13.27,13.84,13.215,13.48,190500
2025-02-28,12.91,13.3,12.85,13.27,112000
2025-02-27,13.0,13.62,12.25,12.88,213600
2025-02-26,13.17,13.27,12.695,13.1,185900
2025-02-25,13.36,13.445,13.14,13.19,135900
2025-02-24,13.34,13.535,13.18,13.32,87500
2025-02-21,13.37,13.43,13.15,13.31,185000
2025-02-20,13.3,13.34,13.17,13.32,77500
2025-02-19,13.21,13.33,13.15,13.33,54100
2025-02-18,13.15,13.459,13.125,13.34,97200
2025-02-14,13.25,13.41,13.07,13.14,91700
2025-02-13,13.1,13.19,13.0,13.17,49300
2025-02-12,12.93,13.12,12.844,13.0,102200
2025-02-11,13.28,13.38,13.05,13.09,86300
2025-02-10,13.37,13.62,13.33,13.35,85500
2025-02-07,13.88,13.88,13.32,13.36,70600
2025-02-06,14.01,14.18,13.77,13.87,70200
2025-02-05,13.92,14.22,13.92,14.0,111100
2025-02-04,13.72,13.87,13.55,13.84,188600
2025-02-03,13.59,13.83,13.35,13.74,111400
2025-01-31,14.18,14.22,13.72,13.84,130000
2025-01-30,14.25,14.72,14.15,14.17,150400
2025-01-29,14.92,15.19,14.46,14.52,143100
2025-01-28,14.49,15.295,14.49,14.99,288900
2025-01-27,14.25,14.56,14.19,14.52,151900
2025-01-24,14.26,14.5,14.21,14.36,76300
2025-01-23,14.15,14.33,14.021,14.33,75600
2025-01-22,14.28,14.4,14.15,14.15,88700
2025-01-21,14.37,14.548,14.2,14.33,97100
2025-01-17,14.23,14.37,14.075,14.29,113200
2025-01-16,13.69,14.09,13.65,14.05,87100
2025-01-15,13.76,13.88,13.66,13.68,50800
2025-01-14,13.69,13.7,13.25,13.47,74400
2025-01-13,13.34,13.705,13.29,13.64,58600
2025-01-10,13.5,13.635,13.41,13.49,120700
2025-01-08,13.65,13.87,13.55,13.74,72400
2025-01-07,14.04,14.25,13.7,13.72,113900
2025-01-06,14.05,14.44,14.03,14.03,80600
2025-01-03,13.91,14.11,13.78,13.99,103800
2025-01-02,14.1,14.36,13.725,13.83,156700
2024-12-31,13.98,14.16,13.855,13.95,114100
2024-12-30,14.0,14.08,13.75,13.91,83200
2024-12-27,13.99,14.16,13.76,14.04,192000
2024-12-26,13.8,14.16,13.765,14.11,75400
2024-12-24,13.76,13.88,13.471,13.85,59500
2024-12-23,13.5,13.8,13.45,13.76,125100
2024-12-20,13.38,13.83,13.33,13.6,352000
2024-12-19,13.61,13.82,13.395,13.52,166300
2024-12-18,13.96,14.29,13.41,13.5,199200
2024-12-17,13.67,13.95,13.63,13.95,110600
2024-12-16,13.64,14.002,13.64,13.73,129000
2024-12-13,13.97,14.145,13.69,13.73,98200
2024-12-12,14.24,14.5,13.86,13.94,130400
2024-12-11,14.08,14.5,14.06,14.28,141400
