datetime,open,high,low,close,volume
2025-04-01,0.7,0.8305,0.6901,0.81,1732516
2025-03-31,0.48,0.85,0.48,0.7395,4127926
2025-03-28,0.748,1.1,0.6,0.6063,29751444
2025-03-27,0.6025,1.37,0.5936,0.77,179451328
2025-03-26,0.6225,0.6225,0.53,0.5305,4013679
2025-03-25,0.717,0.7283,0.608,0.65,3108499
2025-03-24,0.9187,0.97,0.73,0.73,6971023
2025-03-21,1.75,1.83,1.71,1.79,205515
2025-03-20,1.8,1.849,1.71,1.76,81200
2025-03-19,1.89,1.92,1.81,1.84,86400
2025-03-18,1.96,2.0,1.79,1.91,75600
2025-03-17,1.92,2.07,1.92,2.0,161800
2025-03-14,1.8,2.0,1.795,1.92,145600
2025-03-13,1.75,1.82,1.64,1.815,199900
2025-03-12,1.56,1.82,1.48,1.77,460400
2025-03-11,1.5,1.585,1.5,1.56,261900
2025-03-10,1.55,1.75,1.43,1.51,822300
2025-03-07,1.48,1.5,1.41,1.49,119000
2025-03-06,1.49,1.5,1.429,1.49,161500
2025-03-05,1.4,1.53,1.345,1.51,292400
2025-03-04,1.47,1.47,1.34,1.37,389200
2025-03-03,1.5,1.64,1.425,1.47,2942900
2025-02-28,2.17,2.22,2.149,2.2,190000
2025-02-27,2.23,2.28,2.18,2.19,205500
2025-02-26,2.19,2.35,2.18,2.23,357700
2025-02-25,2.3,2.37,2.1,2.24,793200
2025-02-24,2.5,2.515,2.31,2.31,442100
2025-02-21,2.73,2.842,2.42,2.42,385300
2025-02-20,2.95,2.96,2.69,2.74,195900
2025-02-19,2.76,2.78,2.65,2.72,141100
2025-02-18,2.55,2.81,2.523,2.8,573000
2025-02-14,2.49,2.609,2.48,2.55,258200
2025-02-13,2.48,2.52,2.44,2.47,164400
2025-02-12,2.47,2.5,2.42,2.465,185500
2025-02-11,2.54,2.55,2.49,2.5,162700
2025-02-10,2.53,2.647,2.5,2.57,158700
2025-02-07,2.59,2.62,2.48,2.53,233900
2025-02-06,2.64,2.697,2.5,2.59,260400
2025-02-05,2.75,2.83,2.6,2.63,380000
2025-02-04,2.85,2.94,2.68,2.75,439900
2025-02-03,3.04,3.08,2.84,2.86,297600
2025-01-31,3.37,3.4,3.06,3.1,272800
2025-01-30,3.46,3.53,3.37,3.41,98800
2025-01-29,3.31,3.58,3.3,3.43,104700
2025-01-28,3.32,3.44,3.25,3.4,166600
2025-01-27,3.47,3.6,3.33,3.345,82800
2025-01-24,3.52,3.696,3.46,3.5,149900
2025-01-23,3.51,3.55,3.475,3.52,75500
2025-01-22,3.6,3.6,3.49,3.53,75900
2025-01-21,3.66,3.71,3.47,3.58,134800
2025-01-17,3.74,3.95,3.4,3.61,475200
2025-01-16,3.46,3.61,3.344,3.61,201600
2025-01-15,3.46,3.59,3.39,3.41,132100
2025-01-14,3.7,3.79,3.37,3.39,192300
2025-01-13,3.8,3.83,3.55,3.64,156400
2025-01-10,4.0,4.06,3.825,3.84,189700
2025-01-08,3.95,4.18,3.84,4.05,290700
2025-01-07,3.79,4.13,3.79,3.96,336600
2025-01-06,3.87,3.89,3.64,3.78,157200
2025-01-03,3.57,3.82,3.57,3.79,288700
2025-01-02,3.28,3.58,3.27,3.55,194500
2024-12-31,3.3,3.48,3.15,3.25,256700
2024-12-30,3.18,3.33,3.18,3.28,225100
2024-12-27,3.22,3.31,3.07,3.3,260600
2024-12-26,3.11,3.295,3.06,3.26,169400
2024-12-24,3.2,3.26,3.16,3.17,81200
2024-12-23,3.25,3.314,3.14,3.21,134500
2024-12-20,3.05,3.38,3.05,3.27,295800
2024-12-19,3.15,3.269,3.03,3.06,387200
2024-12-18,3.24,3.37,3.13,3.14,257700
2024-12-17,3.35,3.38,3.17,3.24,192500
2024-12-16,3.39,3.5,3.29,3.34,209200
2024-12-13,3.41,3.49,3.26,3.35,141300
2024-12-12,3.62,3.71,3.27,3.33,376200
2024-12-11,3.81,3.845,3.56,3.64,153200
2024-12-10,3.94,3.99,3.79,3.8,123300
2024-12-09,4.06,4.17,3.76,3.95,325900
2024-12-06,3.65,4.118,3.64,4.05,513900
2024-12-05,3.44,3.89,3.3,3.61,534900
2024-12-04,3.46,3.64,3.37,3.41,231400
2024-12-03,3.6,3.88,3.4,3.475,331200
2024-12-02,3.56,3.86,3.56,3.605,321700
2024-11-29,3.12,3.63,3.12,3.55,332200
2024-11-27,3.17,3.39,3.11,3.14,340200
2024-11-26,3.29,3.29,3.12,3.16,301700
2024-11-25,3.1,3.46,2.97,3.29,542800
2024-11-22,3.2,3.21,2.985,3.11,526300
2024-11-21,3.15,3.39,3.1,3.23,301200
2024-11-20,3.44,3.58,3.07,3.15,411600
2024-11-19,2.76,3.49,2.655,3.43,1711700
2024-11-18,3.02,3.15,2.75,2.83,992900
2024-11-15,3.7,3.73,3.0,3.0,1178800
2024-11-14,4.2,4.27,3.8,3.82,609200
2024-11-13,4.53,4.68,4.21,4.25,399100
2024-11-12,4.53,5.348,4.38,4.71,609200
2024-11-11,4.46,4.65,4.33,4.61,305700
2024-11-08,4.67,4.685,4.34,4.48,340200
2024-11-07,4.71,4.94,4.645,4.67,191300
2024-11-06,4.76,4.87,4.694,4.76,173700
2024-11-05,4.7,4.84,4.62,4.75,166300
2024-11-04,4.68,4.781,4.567,4.7,119900
2024-11-01,4.7,4.755,4.65,4.65,174100
2024-10-31,4.77,4.81,4.64,4.65,242000
2024-10-30,4.88,5.007,4.81,4.81,211600
